Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Paranaense,qua 17/01/24,Andraus,Athletico-PR,?,Juan Carlos Osorio,0:2,0,2,Athletico-PR
Campeonato Paranaense,dom 21/01/24,Azuriz,Athletico-PR,4-2-3-1,Juan Carlos Osorio,0:0,0,0,Empate
Campeonato Paranaense,qua 24/01/24,Athletico-PR,Maringá,4-2-3-1,Juan Carlos Osorio,1:1,1,1,Empate
Campeonato Paranaense,sáb 27/01/24,Athletico-PR,Galo Maringá,?,Juan Carlos Osorio,2:1,2,1,Athletico-PR
Campeonato Paranaense,qua 31/01/24,Cianorte,Athletico-PR,?,Juan Carlos Osorio,0:1,0,1,Athletico-PR
Campeonato Paranaense,sáb 03/02/24,Athletico-PR,PSTC-PR,,Juan Carlos Osorio,4:0,4,0,Athletico-PR
Campeonato Paranaense,qua 07/02/24,Athletico-PR,Cascavel,?,Juan Carlos Osorio,1:0,1,0,Athletico-PR
Campeonato Paranaense,sáb 10/02/24,Londrina,Athletico-PR,4-4-2,Francisco Londoño,1:2,1,2,Athletico-PR
Campeonato Paranaense,qui 15/02/24,Athletico-PR,Operário-PR,,Juan Carlos Osorio,0:0,0,0,Empate
Campeonato Paranaense,dom 18/02/24,Coritiba,Athletico-PR,3-5-2,Juan Carlos Osorio,1:1,1,1,Empate
Campeonato Paranaense,dom 25/02/24,Athletico-PR,São Joseense,,Juan Carlos Osorio,3:1,3,1,Athletico-PR
Campeonato Paranaense,sáb 02/03/24,Londrina,Athletico-PR,3-5-2 plano,Juan Carlos Osorio,1:0,1,0,Londrina
Campeonato Paranaense,dom 10/03/24,Athletico-PR,Londrina,,Cuca,6:0,6,0,Athletico-PR
Campeonato Paranaense,sáb 16/03/24,Operário-PR,Athletico-PR,,Cuca,1:2,1,2,Athletico-PR
Campeonato Paranaense,qua 27/03/24,Athletico-PR,Operário-PR,,Cuca,1:0,1,0,Athletico-PR
Campeonato Paranaense,sáb 30/03/24,Maringá,Athletico-PR,,Cuca,0:1,0,1,Athletico-PR
Copa Sul-Americana,ter 02/04/24,CS Ameliano,Athletico-PR,3-4-3 plano,Cuca,1:4,1,4,Athletico-PR
Campeonato Paranaense,sáb 06/04/24,Athletico-PR,Maringá,,Cuca,3:0,3,0,Athletico-PR
Copa Sul-Americana,ter 09/04/24,Athletico-PR,Rayo Zuliano,4-4-2,Cuca,6:0,6,0,Athletico-PR
Campeonato Brasileiro Série A,dom 14/04/24,Athletico-PR,Cuiabá,4-4-2 losango,Cuca,4:0,4,0,Athletico-PR
Campeonato Brasileiro Série A,qua 17/04/24,Grêmio,Athletico-PR,4-2-3-1,Cuca,2:0,2,0,Grêmio
Campeonato Brasileiro Série A,dom 21/04/24,Athletico-PR,Internacional,4-2-3-1,Cuca,1:0,1,0,Athletico-PR
Copa Sul-Americana,qua 24/04/24,Danubio FC,Athletico-PR,4-2-3-1,Cuca,0:1,0,1,Athletico-PR
Campeonato Brasileiro Série A,dom 28/04/24,Juventude,Athletico-PR,4-2-3-1,Cuca,1:1,1,1,Empate
Copa do Brasil,qua 01/05/24,Ypiranga-RS,Athletico-PR,4-2-3-1,Cuca,2:1,2,1,Ypiranga-RS
Campeonato Brasileiro Série A,dom 05/05/24,Athletico-PR,Vasco da Gama,4-2-3-1,Cuca,1:0,1,0,Athletico-PR
Copa Sul-Americana,qua 08/05/24,Rayo Zuliano,Athletico-PR,4-2-3-1,Cuca,1:5,1,5,Athletico-PR
Campeonato Brasileiro Série A,dom 12/05/24,Palmeiras,Athletico-PR,4-2-3-1,Cuca,0:2,0,2,Athletico-PR
Copa Sul-Americana,qua 15/05/24,Athletico-PR,Danubio FC,3-4-1-2,Cuca,1:2,1,2,Danubio FC
Copa Sul-Americana,qui 30/05/24,Athletico-PR,CS Ameliano,4-2-3-1,Cuca,0:1,0,1,CS Ameliano
Campeonato Brasileiro Série A,dom 02/06/24,Fortaleza,Athletico-PR,4-2-3-1,Cuca,1:0,1,0,Fortaleza
Campeonato Brasileiro Série A,qui 13/06/24,Athletico-PR,Criciúma,4-2-3-1,Cuca,3:1,3,1,Athletico-PR
Campeonato Brasileiro Série A,dom 16/06/24,Athletico-PR,Flamengo,4-2-3-1,Cuca,1:1,1,1,Empate
Campeonato Brasileiro Série A,qua 19/06/24,Botafogo,Athletico-PR,4-2-3-1,Daniel Cerqueira,1:1,1,1,Empate
Campeonato Brasileiro Série A,dom 23/06/24,Athletico-PR,Corinthians,4-2-3-1,Cuca,1:1,1,1,Empate
Campeonato Brasileiro Série A,qua 26/06/24,Cruzeiro,Athletico-PR,4-2-3-1,Juca,2:0,2,0,Cruzeiro
Campeonato Brasileiro Série A,dom 30/06/24,Vitória,Athletico-PR,4-2-3-1,Juca,0:1,0,1,Athletico-PR
Campeonato Brasileiro Série A,qua 03/07/24,Athletico-PR,São Paulo,4-2-3-1,Juca,1:2,1,2,São Paulo
Campeonato Brasileiro Série A,dom 07/07/24,Atlético-GO,Athletico-PR,4-2-3-1,Juca,1:2,1,2,Athletico-PR
Campeonato Brasileiro Série A,qua 10/07/24,Athletico-PR,Bahia,4-2-3-1,Juca,1:3,1,3,Bahia
Copa do Brasil,sáb 13/07/24,Athletico-PR,Ypiranga-RS,4-2-3-1,Martín Varini,3:0,3,0,Athletico-PR
Copa Sul-Americana,qui 18/07/24,Cerro Porteño,Athletico-PR,4-2-3-1,Martín Varini,1:1,1,1,Empate
