Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Goiano,qui 18/01/24,Morrinhos,Atlético-GO,?,Jair Ventura,0:1,0,1,Atlético-GO
Campeonato Goiano,dom 21/01/24,Atlético-GO,Goiás,,Jair Ventura,0:0,0,0,Empate
Campeonato Goiano,qua 24/01/24,Aparecidense,Atlético-GO,?,Jair Ventura,2:1,2,1,Aparecidense
Campeonato Goiano,dom 28/01/24,Vila Nova,Atlético-GO,,Jair Ventura,2:1,2,1,Vila Nova
Campeonato Goiano,qui 01/02/24,Atlético-GO,Anápolis,4-2-3-1,Jair Ventura,2:1,2,1,Atlético-GO
Campeonato Goiano,seg 05/02/24,Atlético-GO,Iporá,4-2-3-1,Jair Ventura,3:0,3,0,Atlético-GO
Campeonato Goiano,sex 09/02/24,Atlético-GO,CRAC,4-2-3-1,Jair Ventura,1:0,1,0,Atlético-GO
Campeonato Goiano,dom 11/02/24,Goiânia,Atlético-GO,4-2-3-1,Jair Ventura,1:3,1,3,Atlético-GO
Campeonato Goiano,qui 15/02/24,Atlético-GO,Goiatuba,4-3-3 defensivo,Jair Ventura,6:0,6,0,Atlético-GO
Campeonato Goiano,dom 18/02/24,Jataiense,Atlético-GO,,Jair Ventura,0:2,0,2,Atlético-GO
Copa do Brasil,qui 22/02/24,U. Rondonópolis,Atlético-GO,4-2-3-1,Jair Ventura,1:3,1,3,Atlético-GO
Campeonato Goiano,dom 25/02/24,Atlético-GO,Goianésia,,Jair Ventura,5:1,5,1,Atlético-GO
Campeonato Goiano,sáb 02/03/24,Goiatuba,Atlético-GO,,Jair Ventura,0:3,0,3,Atlético-GO
Copa do Brasil,qua 06/03/24,Real Brasília,Atlético-GO,?,Jair Ventura,1:3,1,3,Atlético-GO
Campeonato Goiano,seg 11/03/24,Atlético-GO,Goiatuba,,Jair Ventura,5:0,5,0,Atlético-GO
Campeonato Goiano,dom 17/03/24,Goiânia,Atlético-GO,?,Jair Ventura,2:3,2,3,Atlético-GO
Campeonato Goiano,seg 25/03/24,Atlético-GO,Goiânia,,Jair Ventura,3:1,3,1,Atlético-GO
Campeonato Goiano,dom 31/03/24,Vila Nova,Atlético-GO,,Jair Ventura,0:2,0,2,Atlético-GO
Campeonato Goiano,dom 07/04/24,Atlético-GO,Vila Nova,,Jair Ventura,3:1,3,1,Atlético-GO
Campeonato Brasileiro Série A,dom 14/04/24,Atlético-GO,Flamengo,4-1-3-2,Jair Ventura,1:2,1,2,Flamengo
Campeonato Brasileiro Série A,qui 18/04/24,Botafogo,Atlético-GO,4-4-2 duplo 6,Jair Ventura,1:0,1,0,Botafogo
Campeonato Brasileiro Série A,dom 21/04/24,Atlético-GO,São Paulo,4-4-2 duplo 6,Jair Ventura,0:3,0,3,São Paulo
Campeonato Brasileiro Série A,dom 28/04/24,Internacional,Atlético-GO,4-2-3-1,Jair Ventura,1:1,1,1,Empate
Copa do Brasil,qua 01/05/24,Brusque,Atlético-GO,4-2-3-1,Jair Ventura,0:1,0,1,Atlético-GO
Campeonato Brasileiro Série A,dom 12/05/24,Atlético-GO,Cruzeiro,4-2-3-1,Jair Ventura,0:1,0,1,Cruzeiro
Copa do Brasil,qua 22/05/24,Atlético-GO,Brusque,4-3-3 ofensivo,Jair Ventura,4:2,4,2,Atlético-GO
Campeonato Brasileiro Série A,sáb 01/06/24,Vitória,Atlético-GO,4-3-3 ofensivo,Jair Ventura,0:2,0,2,Atlético-GO
Campeonato Brasileiro Série A,qua 05/06/24,Juventude,Atlético-GO,4-3-3 ofensivo,Jair Ventura,1:0,1,0,Juventude
Campeonato Brasileiro Série A,ter 11/06/24,Atlético-GO,Corinthians,4-3-3 ofensivo,Jair Ventura,2:2,2,2,Empate
Campeonato Brasileiro Série A,sáb 15/06/24,Fluminense,Atlético-GO,4-3-3 ofensivo,Jair Ventura,1:2,1,2,Atlético-GO
Campeonato Brasileiro Série A,qua 19/06/24,Atlético-GO,Criciúma,4-3-3 ofensivo,Jair Ventura,1:2,1,2,Criciúma
Campeonato Brasileiro Série A,sáb 22/06/24,Cuiabá,Atlético-GO,4-3-3 defensivo,Anderson Gomes,0:0,0,0,Empate
Campeonato Brasileiro Série A,qua 26/06/24,Atlético-GO,Grêmio,4-3-3 ofensivo,Anderson Gomes,1:1,1,1,Empate
Campeonato Brasileiro Série A,dom 30/06/24,Atlético-MG,Atlético-GO,4-3-3 ofensivo,Anderson Gomes,1:1,1,1,Empate
Campeonato Brasileiro Série A,qua 03/07/24,Bragantino,Atlético-GO,4-2-3-1,Anderson Gomes,3:1,3,1,Bragantino
Campeonato Brasileiro Série A,dom 07/07/24,Atlético-GO,Athletico-PR,4-3-3 ofensivo,Anderson Gomes,1:2,1,2,Athletico-PR
Campeonato Brasileiro Série A,qui 11/07/24,Palmeiras,Atlético-GO,5-4-1,Vagner Mancini,3:1,3,1,Palmeiras
Campeonato Brasileiro Série A,qua 17/07/24,Atlético-GO,Vasco da Gama,4-3-3 ofensivo,Vagner Mancini,0:1,0,1,Vasco da Gama
Campeonato Brasileiro Série A,dom 21/07/24,Fortaleza,Atlético-GO,5-4-1 plano,Vagner Mancini,3:1,3,1,Fortaleza
Campeonato Brasileiro Série A,qua 24/07/24,Atlético-GO,Bahia,4-1-4-1,Vagner Mancini,1:1,1,1,Empate
Campeonato Brasileiro Série A,dom 28/07/24,Flamengo,Atlético-GO,4-3-3 ofensivo,Vagner Mancini,2:0,2,0,Flamengo
Copa do Brasil,qua 31/07/24,Atlético-GO,Vasco da Gama,4-2-3-1,Vagner Mancini,1:1,1,1,Empate
Campeonato Brasileiro Série A,sáb 03/08/24,Atlético-GO,Botafogo,4-3-3 ofensivo,Vagner Mancini,1:4,1,4,Botafogo
Copa do Brasil,ter 06/08/24,Vasco da Gama,Atlético-GO,4-2-3-1,Umberto Louzer,1:0,1,0,Vasco da Gama
Campeonato Brasileiro Série A,dom 11/08/24,São Paulo,Atlético-GO,4-2-3-1,Umberto Louzer,1:0,1,0,São Paulo
