Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Mineiro,qua 24/01/24,Patrocinense,Atlético-MG,?,Luiz Felipe Scolari,2:1,2,1,Patrocinense
Campeonato Mineiro,dom 28/01/24,Atlético-MG,Democrata GV,4-3-3 ofensivo,Luiz Felipe Scolari,4:0,4,0,Atlético-MG
Campeonato Mineiro,sáb 03/02/24,Atlético-MG,Cruzeiro,4-4-2,Luiz Felipe Scolari,0:2,0,2,Cruzeiro
Campeonato Mineiro,qui 08/02/24,Athletic,Atlético-MG,4-4-2,Luiz Felipe Scolari,0:2,0,2,Atlético-MG
Campeonato Mineiro,qua 14/02/24,Atlético-MG,Tombense,4-4-2,Luiz Felipe Scolari,1:1,1,1,Empate
Campeonato Mineiro,sáb 17/02/24,Itabirito,Atlético-MG,4-4-2,Luiz Felipe Scolari,0:2,0,2,Atlético-MG
Campeonato Mineiro,sáb 24/02/24,América-MG,Atlético-MG,4-4-2,Luiz Felipe Scolari,1:1,1,1,Empate
Campeonato Mineiro,sáb 02/03/24,Atlético-MG,Ipatinga,4-4-2,Luiz Felipe Scolari,3:0,3,0,Atlético-MG
Campeonato Mineiro,sáb 09/03/24,Atlético-MG,América-MG,4-3-3 ofensivo,Luiz Felipe Scolari,2:0,2,0,Atlético-MG
Campeonato Mineiro,dom 17/03/24,América-MG,Atlético-MG,4-4-2 duplo 6,Luiz Felipe Scolari,2:1,2,1,América-MG
Campeonato Mineiro,sáb 30/03/24,Atlético-MG,Cruzeiro,3-4-1-2,Gabriel Milito,2:2,2,2,Empate
Copa Libertadores,qui 04/04/24,Caracas FC,Atlético-MG,3-4-2-1,Gabriel Milito,1:4,1,4,Atlético-MG
Campeonato Mineiro,dom 07/04/24,Cruzeiro,Atlético-MG,4-4-2,Gabriel Milito,1:3,1,3,Atlético-MG
