Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Baiano,qua 17/01/24,Bahia,Jequié,?,Rogério Ferreira,0:1,0,1,Jequié
Campeonato Baiano,dom 21/01/24,Atl. Alagoinhas,Bahia,4-2-3-1,Rogério Ferreira,3:3,3,3,Empate
Campeonato Baiano,qua 24/01/24,Bahia,Jacobina,?,Rogério Ceni,5:0,5,0,Bahia
Campeonato Baiano,sáb 27/01/24,Bahia de Feira,Bahia,4-2-3-1,Rogério Ceni,0:2,0,2,Bahia
Campeonato Baiano,qua 31/01/24,Bahia,Barcelona-BA,?,Rogério Ceni,2:0,2,0,Bahia
Copa do Nordeste - Fase de Grupos,dom 04/02/24,Bahia,Sport,4-4-2 duplo 6,Rogério Ceni,2:1,2,1,Bahia
Campeonato Baiano,qua 07/02/24,Bahia,Itabuna,4-2-3-1,Rogério Ceni,5:0,5,0,Bahia
Copa do Nordeste - Fase de Grupos,sáb 10/02/24,River-PI,Bahia,4-1-4-1,Rogério Ceni,1:0,1,0,River-PI
Copa do Nordeste - Fase de Grupos,qui 15/02/24,Bahia,América-RN,3-4-1-2,Rogério Ceni,3:0,3,0,Bahia
Campeonato Baiano,dom 18/02/24,Vitória,Bahia,4-2-3-1,Rogério Ceni,3:2,3,2,Vitória
Copa do Brasil,qua 21/02/24,Moto Club,Bahia,4-3-2-1,Rogério Ceni,0:4,0,4,Bahia
Campeonato Baiano,dom 25/02/24,Juazeirense,Bahia,4-2-3-1,Rogério Ceni,1:2,1,2,Bahia
Copa do Nordeste - Fase de Grupos,qua 28/02/24,CRB,Bahia,4-3-3 ofensivo,Rogério Ceni,0:1,0,1,Bahia
Campeonato Baiano,dom 03/03/24,Bahia,Jacuipense,?,Rogério Ceni,2:0,2,0,Bahia
Copa do Nordeste - Fase de Grupos,qua 06/03/24,Ceará,Bahia,4-4-2 losango,Rogério Ceni,1:2,1,2,Bahia
Campeonato Baiano,sáb 09/03/24,Jequié,Bahia,,Rogério Ceni,0:1,0,1,Bahia
Copa do Brasil,ter 12/03/24,Caxias,Bahia,,Rogério Ceni,2:2,2,2,Empate
Campeonato Baiano,sáb 16/03/24,Bahia,Jequié,4-3-3 defensivo,Rogério Ceni,4:1,4,1,Bahia
Copa do Nordeste - Fase de Grupos,qua 20/03/24,Bahia,Vitória,4-4-2 losango,Rogério Ceni,2:1,2,1,Bahia
Copa do Nordeste - Fase de Grupos,dom 24/03/24,Bahia,Maranhão,4-1-3-2,Rogério Ceni,1:0,1,0,Bahia
Copa do Nordeste - Fase de Grupos,qua 27/03/24,Botafogo-PB,Bahia,4-2-3-1,Rogério Ceni,4:0,4,0,Botafogo-PB
Campeonato Baiano,dom 31/03/24,Vitória,Bahia,4-1-4-1,Rogério Ceni,3:2,3,2,Vitória
Campeonato Baiano,dom 07/04/24,Bahia,Vitória,,Rogério Ceni,1:1,1,1,Empate
Copa do Nordeste - Fase Final,qua 10/04/24,Bahia,Náutico,4-1-3-2,Rogério Ceni,3:0,3,0,Bahia
Campeonato Brasileiro Série A,sáb 13/04/24,Internacional,Bahia,4-4-2,Rogério Ceni,2:1,2,1,Internacional
Campeonato Brasileiro Série A,ter 16/04/24,Bahia,Fluminense,4-2-3-1,Rogério Ceni,2:1,2,1,Bahia
Campeonato Brasileiro Série A,dom 21/04/24,Vitória,Bahia,4-3-3 ofensivo,Rogério Ceni,2:2,2,2,Empate
Campeonato Brasileiro Série A,sáb 27/04/24,Bahia,Grêmio,4-2-3-1,Rogério Ceni,1:0,1,0,Bahia
Copa do Brasil,ter 30/04/24,Bahia,Criciúma,4-2-3-1,Rogério Ceni,1:0,1,0,Bahia
Campeonato Brasileiro Série A,dom 05/05/24,Botafogo,Bahia,4-4-2 losango,Rogério Ceni,1:2,1,2,Bahia
Campeonato Brasileiro Série A,dom 12/05/24,Bahia,Bragantino,4-4-2 losango,Rogério Ceni,1:0,1,0,Bahia
