Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Carioca,sáb 11/01/25,Botafogo,Maricá,4-3-3 ofensivo,Carlos Leiria,1:2,1,2,Maricá
Campeonato Carioca,ter 14/01/25,Botafogo,Portuguesa-RJ,4-3-3 ofensivo,Carlos Leiria,2:0,2,0,Botafogo
Campeonato Carioca,sáb 18/01/25,Sampaio-RJ,Botafogo,4-3-3 ofensivo,Carlos Leiria,2:1,2,1,Sampaio-RJ
Campeonato Carioca,qua 22/01/25,Botafogo,Volta Redonda,4-2-3-1,Carlos Leiria,1:2,1,2,Volta Redonda
Campeonato Carioca,dom 26/01/25,Botafogo,Bangu,3-4-3 plano,Carlos Leiria,2:0,2,0,Botafogo
Campeonato Carioca,qua 29/01/25,Botafogo,Fluminense,4-3-3 ofensivo,Carlos Leiria,2:1,2,1,Botafogo
Supercopa Rei,dom 02/02/25,Botafogo,Flamengo,4-2-3-1,Carlos Leiria,1:3,1,3,Flamengo
Campeonato Carioca,qui 06/02/25,Nova Iguaçu,Botafogo,4-2-3-1,Carlos Leiria,0:1,0,1,Botafogo
Campeonato Carioca,dom 09/02/25,Botafogo,Madureira,4-2-3-1,Carlos Leiria,0:2,0,2,Madureira
Campeonato Carioca,qua 12/02/25,Flamengo,Botafogo,4-3-3 ofensivo,Carlos Leiria,1:0,1,0,Flamengo
Campeonato Carioca,sáb 15/02/25,Boavista,Botafogo,4-5-1,Carlos Leiria,1:1,1,1,Empate
