Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Paulista - Série A1 - Primeira fase,sáb 20/01/24,Bragantino,Água Santa,3-1-4-2,Pedro Caixinha,0:1,0,1,Água Santa
Campeonato Paulista - Série A1 - Primeira fase,qua 24/01/24,Portuguesa,Bragantino,3-1-4-2,Pedro Caixinha,1:2,1,2,Bragantino
Campeonato Paulista - Série A1 - Primeira fase,sáb 27/01/24,Bragantino,Botafogo-SP,3-4-3 plano,Pedro Caixinha,1:1,1,1,Empate
Campeonato Paulista - Série A1 - Primeira fase,qua 31/01/24,Bragantino,Palmeiras,3-4-3 plano,Pedro Caixinha,0:1,0,1,Palmeiras
Campeonato Paulista - Série A1 - Primeira fase,dom 04/02/24,Santo André,Bragantino,4-3-3 ofensivo,Pedro Caixinha,1:2,1,2,Bragantino
Campeonato Paulista - Série A1 - Primeira fase,qua 07/02/24,Novorizontino,Bragantino,4-3-3 ofensivo,Pedro Caixinha,0:2,0,2,Bragantino
Campeonato Paulista - Série A1 - Primeira fase,sáb 10/02/24,Bragantino,São Bernardo,4-3-3 ofensivo,Pedro Caixinha,1:1,1,1,Empate
Campeonato Paulista - Série A1 - Primeira fase,qua 14/02/24,Bragantino,Ponte Preta,4-3-3 ofensivo,Pedro Caixinha,1:0,1,0,Bragantino
Campeonato Paulista - Série A1 - Primeira fase,sáb 17/02/24,São Paulo,Bragantino,4-3-3 ofensivo,Pedro Caixinha,2:2,2,2,Empate
Copa Libertadores,ter 20/02/24,Rionegro Águila,Bragantino,4-3-3 defensivo,Pedro Caixinha,0:0,0,0,Empate
Campeonato Paulista - Série A1 - Primeira fase,sáb 24/02/24,Ituano,Bragantino,4-3-3 ofensivo,Pedro Caixinha,0:1,0,1,Bragantino
Copa Libertadores,ter 27/02/24,Bragantino,Rionegro Águila,4-3-3 ofensivo,Pedro Caixinha,0:0,0,0,Empate
Campeonato Paulista - Série A1 - Primeira fase,dom 03/03/24,Bragantino,Santos,4-3-3 ofensivo,Pedro Caixinha,1:0,1,0,Bragantino
Copa Libertadores,qua 06/03/24,Botafogo,Bragantino,4-2-3-1,Pedro Caixinha,2:1,2,1,Botafogo
Campeonato Paulista - Série A1 - Primeira fase,dom 10/03/24,Guarani,Bragantino,4-2-3-1,Pedro Caixinha,1:0,1,0,Guarani
Copa Libertadores,qua 13/03/24,Bragantino,Botafogo,4-2-3-1,Pedro Caixinha,1:1,1,1,Empate
Campeonato Paulista - Série A1 - Fase final,dom 17/03/24,Bragantino,Inter Limeira,4-3-3 ofensivo,Pedro Caixinha,3:0,3,0,Bragantino
Campeonato Paulista - Série A1 - Fase final,qua 27/03/24,Santos,Bragantino,4-3-3 ofensivo,Pedro Caixinha,3:1,3,1,Santos
Copa Sul-Americana,qua 03/04/24,Bragantino,Coquimbo,4-3-3 ofensivo,Pedro Caixinha,1:0,1,0,Bragantino
Copa Sul-Americana,qua 10/04/24,Racing,Bragantino,4-3-3 ofensivo,Pedro Caixinha,3:0,3,0,Racing
Campeonato Brasileiro Série A,sáb 13/04/24,Fluminense,Bragantino,4-3-3 ofensivo,Pedro Caixinha,2:2,2,2,Empate
Campeonato Brasileiro Série A,qua 17/04/24,Bragantino,Vasco da Gama,4-3-3 ofensivo,Pedro Caixinha,2:1,2,1,Bragantino
Campeonato Brasileiro Série A,sáb 20/04/24,Bragantino,Corinthians,4-3-3 ofensivo,Pedro Caixinha,1:0,1,0,Bragantino
Copa Sul-Americana,qua 24/04/24,Bragantino,Luqueño,4-3-3 ofensivo,Pedro Caixinha,2:1,2,1,Bragantino
Campeonato Brasileiro Série A,dom 28/04/24,Fortaleza,Bragantino,4-3-3 ofensivo,Pedro Caixinha,1:1,1,1,Empate
Copa do Brasil,qua 01/05/24,Sousa,Bragantino,4-3-3 ofensivo,Pedro Caixinha,1:1,1,1,Empate
Campeonato Brasileiro Série A,sáb 04/05/24,Bragantino,Flamengo,4-2-3-1,Pedro Caixinha,1:1,1,1,Empate
Copa Sul-Americana,qui 09/05/24,Bragantino,Racing,4-2-3-1,Pedro Caixinha,2:1,2,1,Bragantino
Campeonato Brasileiro Série A,dom 12/05/24,Bahia,Bragantino,4-3-3 ofensivo,Pedro Caixinha,1:0,1,0,Bahia
Copa Sul-Americana,qui 16/05/24,Luqueño,Bragantino,4-3-3 ofensivo,Pedro Caixinha,2:3,2,3,Bragantino
Copa do Brasil,ter 21/05/24,Bragantino,Sousa,4-2-3-1,Pedro Caixinha,3:0,3,0,Bragantino
Copa Sul-Americana,ter 28/05/24,Coquimbo,Bragantino,4-2-3-1,Pedro Caixinha,1:1,1,1,Empate
Campeonato Brasileiro Série A,sáb 01/06/24,Grêmio,Bragantino,4-2-3-1,Pedro Caixinha,0:2,0,2,Bragantino
Campeonato Brasileiro Série A,ter 11/06/24,Bragantino,Atlético-MG,4-3-3 ofensivo,Pedro Caixinha,1:2,1,2,Atlético-MG
Campeonato Brasileiro Série A,sáb 15/06/24,Bragantino,Juventude,4-3-3 ofensivo,Pedro Caixinha,2:1,2,1,Bragantino
