Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Cearense,sáb 18/01/25,Ceará,Tirol,4-2-3-1,Léo Condé,2:1,2,1,Ceará
Copa do Nordeste,qua 22/01/25,Náutico,Ceará,?,Léo Condé,1:0,1,0,Náutico
Campeonato Cearense,dom 26/01/25,Ferroviário,Ceará,4-3-3 defensivo,Léo Condé,1:2,1,2,Ceará
Campeonato Cearense,qua 29/01/25,Ceará,Iguatu,4-2-3-1,Léo Condé,1:0,1,0,Ceará
Campeonato Cearense,dom 02/02/25,Ceará,Barbalha,4-2-3-1,Léo Condé,5:0,5,0,Ceará
Copa do Nordeste,qua 05/02/25,Ceará,CSA,?,Léo Condé,1:0,1,0,Ceará
Campeonato Cearense,sáb 08/02/25,Fortaleza,Ceará,4-4-2,Léo Condé,1:2,1,2,Ceará
Copa do Nordeste,qua 12/02/25,Ceará,Confiança,,Léo Condé,1:1,1,1,Empate
Copa do Brasil,qua 19/02/25,Sergipe,Ceará,?,Léo Condé,0:2,0,2,Ceará
Campeonato Cearense,dom 02/03/25,Maracanã,Ceará,4-2-3-1,Léo Condé,0:3,0,3,Ceará
Copa do Nordeste,qui 06/03/25,Ceará,América-RN,?,Léo Condé,1:0,1,0,Ceará
