Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Paulista - Série A1 - Primeira fase,dom 21/01/24,Corinthians,Guarani,4-2-3-1,Mano Menezes,1:0,1,0,Corinthians
Campeonato Paulista - Série A1 - Primeira fase,qua 24/01/24,Ituano,Corinthians,4-2-3-1,Mano Menezes,1:0,1,0,Ituano
Campeonato Paulista - Série A1 - Primeira fase,sáb 27/01/24,São Bernardo,Corinthians,4-1-4-1,Mano Menezes,1:0,1,0,São Bernardo
Campeonato Paulista - Série A1 - Primeira fase,ter 30/01/24,Corinthians,São Paulo,4-2-3-1,Mano Menezes,1:2,1,2,São Paulo
Campeonato Paulista - Série A1 - Primeira fase,dom 04/02/24,Corinthians,Novorizontino,4-2-3-1,Mano Menezes,1:3,1,3,Novorizontino
Campeonato Paulista - Série A1 - Primeira fase,qua 07/02/24,Santos,Corinthians,4-3-3 ofensivo,Thiago Kosloski,1:0,1,0,Santos
Campeonato Paulista - Série A1 - Primeira fase,dom 11/02/24,Corinthians,Portuguesa,3-5-2 plano,Toni Oliveira,2:0,2,0,Corinthians
Campeonato Paulista - Série A1 - Primeira fase,qua 14/02/24,Botafogo-SP,Corinthians,4-3-3 ofensivo,Toni Oliveira,1:4,1,4,Corinthians
Campeonato Paulista - Série A1 - Primeira fase,dom 18/02/24,Palmeiras,Corinthians,4-3-3 ofensivo,Toni Oliveira,2:2,2,2,Empate
Copa do Brasil,qui 22/02/24,Cianorte,Corinthians,4-2-3-1,Toni Oliveira,0:3,0,3,Corinthians
Campeonato Paulista - Série A1 - Primeira fase,dom 25/02/24,Corinthians,Ponte Preta,4-3-3 ofensivo,Toni Oliveira,0:1,0,1,Ponte Preta
Campeonato Paulista - Série A1 - Primeira fase,sáb 02/03/24,Corinthians,Santo André,4-3-3 ofensivo,Toni Oliveira,3:2,3,2,Corinthians
Campeonato Paulista - Série A1 - Primeira fase,dom 10/03/24,Água Santa,Corinthians,3-4-3 plano,Toni Oliveira,0:0,0,0,Empate
Copa do Brasil,qui 14/03/24,São Bernardo,Corinthians,4-2-3-1,Toni Oliveira,0:2,0,2,Corinthians
Copa Sul-Americana,ter 02/04/24,Racing Club,Corinthians,4-2-3-1,Toni Oliveira,1:1,1,1,Empate
Copa Sul-Americana,ter 09/04/24,Corinthians,Nacional,4-2-3-1,Toni Oliveira,4:0,4,0,Corinthians
Campeonato Brasileiro Série A,dom 14/04/24,Corinthians,Atlético-MG,4-2-3-1,Toni Oliveira,0:0,0,0,Empate
Campeonato Brasileiro Série A,qua 17/04/24,Juventude,Corinthians,4-2-3-1,Toni Oliveira,2:0,2,0,Juventude
Campeonato Brasileiro Série A,sáb 20/04/24,Bragantino,Corinthians,4-2-3-1,Toni Oliveira,1:0,1,0,Bragantino
Copa Sul-Americana,ter 23/04/24,Argentinos Jrs.,Corinthians,4-2-3-1,Toni Oliveira,1:0,1,0,Argentinos Jrs.
