Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Catarinense,sáb 20/01/24,Criciúma,Figueirense,?,Cláudio Tencati,4:1,4,1,Criciúma
Campeonato Catarinense,qua 24/01/24,Concórdia,Criciúma,?,Cláudio Tencati,1:2,1,2,Criciúma
Campeonato Catarinense,dom 28/01/24,Criciúma,Hercílio Luz,?,Cláudio Tencati,2:0,2,0,Criciúma
Campeonato Catarinense,qua 31/01/24,Marcílio Dias,Criciúma,?,Cláudio Tencati,1:0,1,0,Marcílio Dias
Campeonato Catarinense,sáb 03/02/24,Criciúma,Nação-SC,?,Cláudio Tencati,1:0,1,0,Criciúma
Campeonato Catarinense,qua 07/02/24,Criciúma,Barra,?,Cláudio Tencati,1:0,1,0,Criciúma
Campeonato Catarinense,seg 12/02/24,Avaí,Criciúma,?,Cláudio Tencati,2:3,2,3,Criciúma
Campeonato Catarinense,qui 15/02/24,Criciúma,Brusque,?,Cláudio Tencati,1:2,1,2,Brusque
Campeonato Catarinense,dom 18/02/24,Inter de Lages,Criciúma,?,Aléssio Antunes,0:1,0,1,Criciúma
Campeonato Catarinense,sáb 24/02/24,Joinville,Criciúma,?,Cláudio Tencati,0:0,0,0,Empate
Copa do Brasil,qua 28/02/24,Operário VG,Criciúma,?,Cláudio Tencati,0:0,0,0,Empate
Campeonato Catarinense,sáb 02/03/24,Criciúma,Chapecoense,?,Cláudio Tencati,2:0,2,0,Criciúma
Campeonato Catarinense,sáb 09/03/24,Hercílio Luz,Criciúma,?,Cláudio Tencati,1:1,1,1,Empate
Copa do Brasil,qui 14/03/24,Brasiliense,Criciúma,?,Cláudio Tencati,1:1,1,1,Empate
Campeonato Catarinense,dom 17/03/24,Criciúma,Hercílio Luz,?,Cláudio Tencati,2:1,2,1,Criciúma
Campeonato Catarinense,qui 21/03/24,Barra,Criciúma,?,Cláudio Tencati,2:1,2,1,Barra
Campeonato Catarinense,dom 24/03/24,Criciúma,Barra,?,Cláudio Tencati,2:1,2,1,Criciúma
Campeonato Catarinense,sáb 30/03/24,Brusque,Criciúma,?,Cláudio Tencati,1:2,1,2,Criciúma
Campeonato Catarinense,sáb 06/04/24,Criciúma,Brusque,?,Cláudio Tencati,1:1,1,1,Empate
Campeonato Brasileiro Série A,sáb 13/04/24,Criciúma,Juventude,4-3-1-2,Cláudio Tencati,1:1,1,1,Empate
Campeonato Brasileiro Série A,qua 17/04/24,Atlético-MG,Criciúma,4-3-2-1,Cláudio Tencati,1:1,1,1,Empate
Campeonato Brasileiro Série A,sáb 27/04/24,Vasco da Gama,Criciúma,4-4-2,Cláudio Tencati,0:4,0,4,Criciúma
Copa do Brasil,ter 30/04/24,Bahia,Criciúma,4-3-2-1,Cláudio Tencati,1:0,1,0,Bahia
Copa do Brasil,qui 23/05/24,Criciúma,Bahia,4-3-3 defensivo,Cláudio Tencati,0:2,0,2,Bahia
Campeonato Brasileiro Série A,dom 02/06/24,Criciúma,Palmeiras,4-3-3 defensivo,Cláudio Tencati,1:2,1,2,Palmeiras
Campeonato Brasileiro Série A,dom 09/06/24,Criciúma,Cuiabá,4-4-2,Cláudio Tencati,2:5,2,5,Cuiabá
Campeonato Brasileiro Série A,qui 13/06/24,Athletico-PR,Criciúma,4-4-2 duplo 6,Cláudio Tencati,3:1,3,1,Athletico-PR
Campeonato Brasileiro Série A,dom 16/06/24,Criciúma,Bahia,4-4-2,Cláudio Tencati,2:2,2,2,Empate
Campeonato Brasileiro Série A,qua 19/06/24,Atlético-GO,Criciúma,4-4-2,Cláudio Tencati,1:2,1,2,Criciúma
Campeonato Brasileiro Série A,sáb 22/06/24,Criciúma,Botafogo,5-3-2,Cláudio Tencati,2:1,2,1,Criciúma
Campeonato Brasileiro Série A,qui 27/06/24,São Paulo,Criciúma,4-4-2,Cláudio Tencati,2:1,2,1,São Paulo
Campeonato Brasileiro Série A,dom 30/06/24,Criciúma,Internacional,5-3-2,Cláudio Tencati,1:1,1,1,Empate
Campeonato Brasileiro Série A,qua 03/07/24,Criciúma,Cruzeiro,4-3-2-1,Cláudio Tencati,1:0,1,0,Criciúma
Campeonato Brasileiro Série A,dom 07/07/24,Vitória,Criciúma,4-4-2,Cláudio Tencati,2:1,2,1,Vitória
Campeonato Brasileiro Série A,qui 11/07/24,Criciúma,Fluminense,4-4-2,Cláudio Tencati,1:1,1,1,Empate
Campeonato Brasileiro Série A,ter 16/07/24,Corinthians,Criciúma,4-4-2,Cláudio Tencati,2:1,2,1,Corinthians
Campeonato Brasileiro Série A,sáb 20/07/24,Flamengo,Criciúma,4-4-2,Cláudio Tencati,2:1,2,1,Flamengo
Campeonato Brasileiro Série A,qua 24/07/24,Criciúma,Fortaleza,4-4-2,Cláudio Tencati,1:1,1,1,Empate
Campeonato Brasileiro Série A,sáb 27/07/24,Juventude,Criciúma,4-2-3-1,Cláudio Tencati,1:2,1,2,Criciúma
