Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Mineiro,qua 24/01/24,Villa Nova,Cruzeiro,4-3-3 ofensivo,Nicolás Larcamón,1:2,1,2,Cruzeiro
Campeonato Mineiro,sáb 27/01/24,Cruzeiro,Athletic,4-2-3-1,Nicolás Larcamón,1:1,1,1,Empate
Campeonato Mineiro,sáb 03/02/24,Atlético-MG,Cruzeiro,4-3-3 ofensivo,Nicolás Larcamón,0:2,0,2,Cruzeiro
Campeonato Mineiro,sex 09/02/24,Cruzeiro,Patrocinense,4-3-3 ofensivo,Nicolás Larcamón,3:0,3,0,Cruzeiro
Campeonato Mineiro,qui 15/02/24,Cruzeiro,América-MG,4-3-3 ofensivo,Nicolás Larcamón,0:2,0,2,América-MG
Campeonato Mineiro,dom 18/02/24,Democrata GV,Cruzeiro,3-4-3 plano,Nicolás Larcamón,1:3,1,3,Cruzeiro
Copa do Brasil,qua 21/02/24,Sousa,Cruzeiro,3-4-2-1,Nicolás Larcamón,2:0,2,0,Sousa
Campeonato Mineiro,dom 25/02/24,Pouso Alegre,Cruzeiro,4-3-3 ofensivo,Nicolás Larcamón,0:2,0,2,Cruzeiro
Campeonato Mineiro,sáb 02/03/24,Cruzeiro,Uberlândia,4-3-3 ofensivo,Nicolás Larcamón,2:0,2,0,Cruzeiro
Campeonato Mineiro,dom 10/03/24,Tombense,Cruzeiro,4-2-3-1,Nicolás Larcamón,0:0,0,0,Empate
Campeonato Mineiro,sáb 16/03/24,Cruzeiro,Tombense,4-1-4-1,Nicolás Larcamón,3:1,3,1,Cruzeiro
Campeonato Mineiro,sáb 30/03/24,Atlético-MG,Cruzeiro,3-4-1-2,Nicolás Larcamón,2:2,2,2,Empate
Copa Sul-Americana,qui 04/04/24,Uni. Católica,Cruzeiro,4-2-3-1,Nicolás Larcamón,0:0,0,0,Empate
Campeonato Mineiro,dom 07/04/24,Cruzeiro,Atlético-MG,4-2-3-1,Nicolás Larcamón,1:3,1,3,Atlético-MG
Copa Sul-Americana,qui 11/04/24,Cruzeiro,Alianza FC,4-4-2 losango,Fernando Seabra,3:3,3,3,Empate
Campeonato Brasileiro Série A,dom 14/04/24,Cruzeiro,Botafogo,4-4-2 losango,Fernando Seabra,3:2,3,2,Cruzeiro
Campeonato Brasileiro Série A,qua 17/04/24,Fortaleza,Cruzeiro,4-4-2 losango,Fernando Seabra,1:1,1,1,Empate
Campeonato Brasileiro Série A,sáb 20/04/24,Atlético-MG,Cruzeiro,4-4-2 losango,Fernando Seabra,3:0,3,0,Atlético-MG
Copa Sul-Americana,ter 23/04/24,La Calera,Cruzeiro,4-4-2 losango,Fernando Seabra,0:0,0,0,Empate
Campeonato Brasileiro Série A,dom 28/04/24,Cruzeiro,Vitória,4-4-2 losango,Fernando Seabra,3:1,3,1,Cruzeiro
Copa Sul-Americana,ter 07/05/24,Alianza FC,Cruzeiro,4-4-2 losango,Fernando Seabra,0:3,0,3,Cruzeiro
Campeonato Brasileiro Série A,dom 12/05/24,Atlético-GO,Cruzeiro,4-4-2 losango,Fernando Seabra,0:1,0,1,Cruzeiro
Copa Sul-Americana,qui 16/05/24,Cruzeiro,La Calera,4-4-2 losango,Fernando Seabra,1:0,1,0,Cruzeiro
Copa Sul-Americana,qui 30/05/24,Cruzeiro,Uni. Católica,4-4-2 losango,Fernando Seabra,1:0,1,0,Cruzeiro
Campeonato Brasileiro Série A,dom 02/06/24,São Paulo,Cruzeiro,4-4-2 losango,Fernando Seabra,2:0,2,0,São Paulo
Campeonato Brasileiro Série A,qui 13/06/24,Cruzeiro,Cuiabá,4-4-2 losango,Fernando Seabra,2:1,2,1,Cruzeiro
Campeonato Brasileiro Série A,dom 16/06/24,Vasco da Gama,Cruzeiro,4-3-3 ofensivo,Fernando Seabra,0:0,0,0,Empate
