Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Mato-Grossense,sáb 20/01/24,Cuiabá,Primavera-MT,?,Toni Oliveira,1:1,1,1,Empate
Campeonato Mato-Grossense,ter 23/01/24,Operário VG,Cuiabá,?,Toni Oliveira,2:2,2,2,Empate
Campeonato Mato-Grossense,sáb 27/01/24,Cuiabá,Dom Bosco,?,Toni Oliveira,5:0,5,0,Cuiabá
Campeonato Mato-Grossense,qui 01/02/24,Luverdense,Cuiabá,?,Toni Oliveira,1:2,1,2,Cuiabá
Campeonato Mato-Grossense,seg 05/02/24,Mixto,Cuiabá,?,Toni Oliveira,1:2,1,2,Cuiabá
Campeonato Mato-Grossense,qui 08/02/24,Cuiabá,U. Rondonópolis,?,Luiz Fernando Iubel,1:1,1,1,Empate
Campeonato Mato-Grossense,qui 15/02/24,Cuiabá,AA Araguaia,?,Luiz Fernando Iubel,3:0,3,0,Cuiabá
Campeonato Mato-Grossense,dom 18/02/24,Academia-MT,Cuiabá,?,Luiz Fernando Iubel,0:2,0,2,Cuiabá
Copa do Brasil,qui 22/02/24,Real Noroeste,Cuiabá,,Luiz Fernando Iubel,1:4,1,4,Cuiabá
Campeonato Mato-Grossense,sáb 24/02/24,Cuiabá,Nova Mutum,?,Luiz Fernando Iubel,2:2,2,2,Empate
Copa Verde,qua 06/03/24,Cuiabá,Porto Velho,?,Luiz Fernando Iubel,5:0,5,0,Cuiabá
Copa do Brasil,ter 12/03/24,Portuguesa-RJ,Cuiabá,,Luiz Fernando Iubel,0:0,0,0,Empate
Campeonato Mato-Grossense,dom 17/03/24,Luverdense,Cuiabá,?,Luiz Fernando Iubel,0:1,0,1,Cuiabá
Copa Verde,qua 20/03/24,Brasiliense,Cuiabá,,Luiz Fernando Iubel,1:4,1,4,Cuiabá
Campeonato Mato-Grossense,dom 24/03/24,Cuiabá,Luverdense,?,Luiz Fernando Iubel,4:3,4,3,Cuiabá
Copa Verde,qua 27/03/24,Cuiabá,Brasiliense,,Luiz Fernando Iubel,4:1,4,1,Cuiabá
Campeonato Mato-Grossense,sáb 30/03/24,Cuiabá,U. Rondonópolis,?,Luiz Fernando Iubel,1:0,1,0,Cuiabá
Copa Sul-Americana,qua 03/04/24,Cuiabá,Lanús,5-4-1 plano,Luiz Fernando Iubel,1:1,1,1,Empate
Campeonato Mato-Grossense,sáb 06/04/24,U. Rondonópolis,Cuiabá,?,Luiz Fernando Iubel,0:1,0,1,Cuiabá
Copa Sul-Americana,qui 11/04/24,Metropolitanos,Cuiabá,5-4-1 plano,Luiz Fernando Iubel,0:2,0,2,Cuiabá
Campeonato Brasileiro Série A,dom 14/04/24,Athletico-PR,Cuiabá,5-4-1 plano,Luiz Fernando Iubel,4:0,4,0,Athletico-PR
Copa Verde,qua 17/04/24,Vila Nova,Cuiabá,?,Luiz Fernando Iubel,2:0,2,0,Vila Nova
Campeonato Brasileiro Série A,sáb 20/04/24,Grêmio,Cuiabá,5-4-1 plano,Luiz Fernando Iubel,1:0,1,0,Grêmio
Copa Sul-Americana,ter 23/04/24,Dep. Garcilaso,Cuiabá,5-4-1 plano,Luiz Fernando Iubel,1:1,1,1,Empate
Campeonato Brasileiro Série A,sáb 27/04/24,Cuiabá,Atlético-MG,5-4-1 plano,Luiz Fernando Iubel,0:3,0,3,Atlético-MG
Copa do Brasil,qui 02/05/24,Goiás,Cuiabá,5-4-1 plano,Ricardo Colbachini,1:0,1,0,Goiás
Campeonato Brasileiro Série A,dom 05/05/24,Cuiabá,Palmeiras,3-4-1-2,Ricardo Colbachini,0:2,0,2,Palmeiras
Copa Sul-Americana,qua 08/05/24,Cuiabá,Metropolitanos,4-3-3 ofensivo,Petit,3:0,3,0,Cuiabá
Copa Verde,sáb 11/05/24,Cuiabá,Vila Nova,,Petit,4:2,4,2,Cuiabá
Copa Sul-Americana,qua 15/05/24,Cuiabá,Dep. Garcilaso,4-3-3 ofensivo,Petit,1:1,1,1,Empate
Copa do Brasil,qui 23/05/24,Cuiabá,Goiás,4-3-3 ofensivo,Petit,1:0,1,0,Cuiabá
Copa Sul-Americana,qua 29/05/24,Lanús,Cuiabá,4-3-3 ofensivo,Petit,0:1,0,1,Cuiabá
Campeonato Brasileiro Série A,sáb 01/06/24,Cuiabá,Internacional,4-3-3 ofensivo,Petit,0:1,0,1,Internacional
Campeonato Brasileiro Série A,qua 05/06/24,Cuiabá,Vitória,4-3-3 ofensivo,Petit,0:0,0,0,Empate
Campeonato Brasileiro Série A,dom 09/06/24,Criciúma,Cuiabá,4-3-3 ofensivo,Petit,2:5,2,5,Cuiabá
Campeonato Brasileiro Série A,qui 13/06/24,Cruzeiro,Cuiabá,4-2-3-1,Petit,2:1,2,1,Cruzeiro
Campeonato Brasileiro Série A,dom 16/06/24,Cuiabá,Fortaleza,4-2-3-1,Petit,5:0,5,0,Cuiabá
Campeonato Brasileiro Série A,qua 19/06/24,São Paulo,Cuiabá,4-2-3-1,Petit,0:1,0,1,Cuiabá
Campeonato Brasileiro Série A,sáb 22/06/24,Cuiabá,Atlético-GO,4-2-3-1,Petit,0:0,0,0,Empate
Campeonato Brasileiro Série A,qua 26/06/24,Corinthians,Cuiabá,4-3-3 ofensivo,Petit,1:1,1,1,Empate
Campeonato Brasileiro Série A,sáb 29/06/24,Cuiabá,Bragantino,4-3-3 ofensivo,Petit,1:1,1,1,Empate
Campeonato Brasileiro Série A,qua 03/07/24,Cuiabá,Botafogo,5-4-1,Petit,1:2,1,2,Botafogo
Campeonato Brasileiro Série A,sáb 06/07/24,Flamengo,Cuiabá,4-5-1,Petit,1:1,1,1,Empate
Campeonato Brasileiro Série A,sáb 13/07/24,Bahia,Cuiabá,4-5-1,Petit,1:2,1,2,Cuiabá
Copa Sul-Americana,qui 18/07/24,Palestino,Cuiabá,4-3-3 ofensivo,Petit,1:1,1,1,Empate
Campeonato Brasileiro Série A,dom 21/07/24,Cuiabá,Fluminense,4-5-1 plano,Petit,0:1,0,1,Fluminense
Copa Sul-Americana,qui 25/07/24,Cuiabá,Palestino,4-3-3 ofensivo,Petit,1:2,1,2,Palestino
Campeonato Brasileiro Série A,dom 28/07/24,Cuiabá,Athletico-PR,4-2-3-1,Petit,1:2,1,2,Athletico-PR
Campeonato Brasileiro Série A,sáb 03/08/24,Vitória,Cuiabá,4-2-3-1,Petit,1:0,1,0,Vitória
Campeonato Brasileiro Série A,sáb 10/08/24,Cuiabá,Grêmio,5-3-2,Petit,1:3,1,3,Grêmio
Campeonato Brasileiro Série A,sáb 17/08/24,Atlético-MG,Cuiabá,5-4-1 plano,Petit,1:1,1,1,Empate
Campeonato Brasileiro Série A,sáb 24/08/24,Palmeiras,Cuiabá,5-3-2,Petit,5:0,5,0,Palmeiras
Campeonato Brasileiro Série A,sáb 31/08/24,Cuiabá,Criciúma,4-2-3-1,Bernardo Franco,2:1,2,1,Cuiabá
Campeonato Brasileiro Série A,qui 05/09/24,Cuiabá,Juventude,4-3-3 ofensivo,Bernardo Franco,0:0,0,0,Empate
Campeonato Brasileiro Série A,seg 16/09/24,Internacional,Cuiabá,4-2-3-1,Bernardo Franco,3:0,3,0,Internacional
Campeonato Brasileiro Série A,dom 22/09/24,Cuiabá,Cruzeiro,4-2-3-1,Bernardo Franco,0:0,0,0,Empate
Campeonato Brasileiro Série A,dom 29/09/24,Fortaleza,Cuiabá,4-2-3-1,Bernardo Franco,1:0,1,0,Fortaleza
Campeonato Brasileiro Série A,sáb 05/10/24,Cuiabá,São Paulo,4-2-3-1,Bernardo Franco,2:0,2,0,Cuiabá
Campeonato Brasileiro Série A,sex 18/10/24,Atlético-GO,Cuiabá,3-4-3 plano,Bernardo Franco,0:0,0,0,Empate
Campeonato Brasileiro Série A,qui 24/10/24,Vasco da Gama,Cuiabá,4-2-3-1,Bernardo Franco,1:0,1,0,Vasco da Gama
