Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Carioca - Taça Guanabara,qua 17/01/24,Flamengo,Audax-RJ,4-2-3-1,Tite,4:0,4,0,Flamengo
Campeonato Carioca - Taça Guanabara,dom 21/01/24,Nova Iguaçu,Flamengo,3-4-3 plano,Tite,1:1,1,1,Empate
Campeonato Carioca - Taça Guanabara,sáb 27/01/24,Portuguesa-RJ,Flamengo,4-1-4-1,Tite,0:0,0,0,Empate
Campeonato Carioca - Taça Guanabara,qua 31/01/24,Sampaio-RJ,Flamengo,4-2-3-1,Tite,0:2,0,2,Flamengo
Campeonato Carioca - Taça Guanabara,dom 04/02/24,Vasco da Gama,Flamengo,4-1-4-1,Tite,0:0,0,0,Empate
Campeonato Carioca - Taça Guanabara,qua 07/02/24,Flamengo,Botafogo,4-4-2 duplo 6,Tite,1:0,1,0,Flamengo
Campeonato Carioca - Taça Guanabara,sáb 10/02/24,Flamengo,Volta Redonda,4-3-3 ofensivo,Tite,3:0,3,0,Flamengo
Campeonato Carioca - Taça Guanabara,qui 15/02/24,Bangu,Flamengo,4-2-3-1,Tite,0:3,0,3,Flamengo
Campeonato Carioca - Taça Guanabara,ter 20/02/24,Flamengo,Boavista,4-3-3 ofensivo,Tite,4:0,4,0,Flamengo
Campeonato Carioca - Taça Guanabara,dom 25/02/24,Flamengo,Fluminense,4-3-3 ofensivo,Tite,2:0,2,0,Flamengo
Campeonato Carioca - Taça Guanabara,sáb 02/03/24,Flamengo,Madureira,4-4-2,Tite,3:0,3,0,Flamengo
Campeonato Carioca - Final,sáb 09/03/24,Fluminense,Flamengo,4-2-3-1,Tite,0:2,0,2,Flamengo
Campeonato Carioca - Final,sáb 16/03/24,Flamengo,Fluminense,4-2-3-1,Tite,0:0,0,0,Empate
Campeonato Carioca - Final,sáb 30/03/24,Nova Iguaçu,Flamengo,4-2-3-1,Tite,0:3,0,3,Flamengo
Copa Libertadores,ter 02/04/24,Millonarios,Flamengo,4-2-3-1,Tite,1:1,1,1,Empate
Campeonato Carioca - Final,dom 07/04/24,Flamengo,Nova Iguaçu,4-2-3-1,Tite,1:0,1,0,Flamengo
Copa Libertadores,qua 10/04/24,Flamengo,Palestino,4-2-3-1,Tite,2:0,2,0,Flamengo
Campeonato Brasileiro Série A,dom 14/04/24,Atlético-GO,Flamengo,4-2-3-1,Tite,1:2,1,2,Flamengo
Campeonato Brasileiro Série A,qua 17/04/24,Flamengo,São Paulo,4-2-3-1,Tite,2:1,2,1,Flamengo
Campeonato Brasileiro Série A,dom 21/04/24,Palmeiras,Flamengo,4-2-3-1,Tite,0:0,0,0,Empate
Copa Libertadores,qua 24/04/24,Bolívar,Flamengo,3-4-2-1,Tite,2:1,2,1,Bolívar
Campeonato Brasileiro Série A,dom 28/04/24,Flamengo,Botafogo,4-2-3-1,Tite,0:2,0,2,Botafogo
Copa do Brasil,qua 01/05/24,Flamengo,Amazonas,4-3-3 ofensivo,Tite,1:0,1,0,Flamengo
Campeonato Brasileiro Série A,sáb 04/05/24,Bragantino,Flamengo,4-3-2-1,Tite,1:1,1,1,Empate
Copa Libertadores,ter 07/05/24,Palestino,Flamengo,4-2-3-1,Tite,1:0,1,0,Palestino
Campeonato Brasileiro Série A,sáb 11/05/24,Flamengo,Corinthians,4-2-3-1,Tite,2:0,2,0,Flamengo
Copa Libertadores,qua 15/05/24,Flamengo,Bolívar,4-2-3-1,Tite,4:0,4,0,Flamengo
Copa do Brasil,qua 22/05/24,Amazonas,Flamengo,4-2-3-1,Tite,0:1,0,1,Flamengo
Copa Libertadores,ter 28/05/24,Flamengo,Millonarios,4-2-3-1,Tite,3:0,3,0,Flamengo
Campeonato Brasileiro Série A,dom 02/06/24,Vasco da Gama,Flamengo,4-2-3-1,Tite,1:6,1,6,Flamengo
Campeonato Brasileiro Série A,qui 13/06/24,Flamengo,Grêmio,4-2-3-1,Tite,2:1,2,1,Flamengo
