Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Copa do Nordeste,qui 23/01/25,Fortaleza,Moto Club,?,Juan Pablo Vojvoda,2:0,2,0,Fortaleza
Campeonato Cearense,sáb 25/01/25,Horizonte,Fortaleza,4-2-3-1,Juan Pablo Vojvoda,1:3,1,3,Fortaleza
Campeonato Cearense,seg 27/01/25,Fortaleza,Cariri,4-3-3 ofensivo,Juan Pablo Vojvoda,7:0,7,0,Fortaleza
Campeonato Cearense,qui 30/01/25,Fortaleza,Maracanã,4-2-3-1,Juan Pablo Vojvoda,1:0,1,0,Fortaleza
Campeonato Cearense,sáb 01/02/25,Floresta,Fortaleza,4-4-2 duplo 6,Juan Pablo Vojvoda,0:1,0,1,Fortaleza
Copa do Nordeste,ter 04/02/25,Sport,Fortaleza,,Juan Pablo Vojvoda,0:2,0,2,Fortaleza
Campeonato Cearense,sáb 08/02/25,Fortaleza,Ceará,4-4-2,Juan Pablo Vojvoda,1:2,1,2,Ceará
Copa do Nordeste,ter 11/02/25,Altos,Fortaleza,,Juan Pablo Vojvoda,2:1,2,1,Altos
Copa do Nordeste,qua 19/02/25,Fortaleza,Vitória,,Juan Pablo Vojvoda,1:2,1,2,Vitória
Campeonato Cearense,sáb 01/03/25,Ferroviário,Fortaleza,4-4-2,Juan Pablo Vojvoda,0:0,0,0,Empate
Copa do Nordeste,qua 05/03/25,Fortaleza,Ferroviário,,Juan Pablo Vojvoda,4:0,4,0,Fortaleza
Campeonato Cearense,sáb 08/03/25,Fortaleza,Ferroviário,4-2-3-1,Juan Pablo Vojvoda,1:0,1,0,Fortaleza
Campeonato Cearense,sáb 15/03/25,Fortaleza,Ceará,,,0:1,0,1,Ceará
