Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Gaúcho,sáb 20/01/24,Caxias,Grêmio,4-4-1-1,Renato Gaúcho,2:1,2,1,Caxias
Campeonato Gaúcho,qua 24/01/24,Grêmio,São José-RS,4-2-3-1,Renato Gaúcho,4:1,4,1,Grêmio
Campeonato Gaúcho,dom 28/01/24,Brasil Pelotas,Grêmio,4-1-4-1,Renato Gaúcho,0:1,0,1,Grêmio
Campeonato Gaúcho,qua 31/01/24,Grêmio,Juventude,4-2-3-1,Renato Gaúcho,1:0,1,0,Grêmio
Campeonato Gaúcho,sáb 03/02/24,Avenida,Grêmio,4-3-3 ofensivo,Renato Gaúcho,0:1,0,1,Grêmio
Campeonato Gaúcho,ter 06/02/24,Grêmio,Novo Hamburgo,4-3-3 ofensivo,Renato Gaúcho,2:0,2,0,Grêmio
Campeonato Gaúcho,sáb 10/02/24,Grêmio,São Luiz,4-4-2 duplo 6,Renato Gaúcho,1:1,1,1,Empate
Campeonato Gaúcho,qua 14/02/24,Ypiranga-RS,Grêmio,4-4-2 duplo 6,Alexandre Mendes,0:0,0,0,Empate
Campeonato Gaúcho,sáb 17/02/24,Grêmio,Santa Cruz-RS,4-3-3 ofensivo,Renato Gaúcho,6:2,6,2,Grêmio
Campeonato Gaúcho,dom 25/02/24,Internacional,Grêmio,4-1-4-1,Renato Gaúcho,3:2,3,2,Internacional
Campeonato Gaúcho,sáb 02/03/24,Grêmio,Guarany Bagé,4-4-1-1,Renato Gaúcho,4:1,4,1,Grêmio
Campeonato Gaúcho - Fase Final,dom 10/03/24,Grêmio,Brasil Pelotas,4-3-3 defensivo,Renato Gaúcho,2:0,2,0,Grêmio
Campeonato Gaúcho - Fase Final,sáb 16/03/24,Caxias,Grêmio,4-2-3-1,Renato Gaúcho,1:2,1,2,Grêmio
Campeonato Gaúcho - Fase Final,ter 26/03/24,Grêmio,Caxias,4-4-2 duplo 6,Renato Gaúcho,3:2,3,2,Grêmio
Campeonato Gaúcho - Fase Final,sáb 30/03/24,Juventude,Grêmio,4-3-3 ofensivo,Renato Gaúcho,0:0,0,0,Empate
Copa Libertadores,ter 02/04/24,The Strongest,Grêmio,4-2-3-1,Renato Gaúcho,2:0,2,0,The Strongest
Campeonato Gaúcho - Fase Final,sáb 06/04/24,Grêmio,Juventude,4-2-3-1,Renato Gaúcho,3:1,3,1,Grêmio
Copa Libertadores,ter 09/04/24,Grêmio,Huachipato,4-3-3 ofensivo,Renato Gaúcho,0:2,0,2,Huachipato
