Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Gaúcho,dom 21/01/24,Internacional,Avenida,4-4-2 duplo 6,Eduardo Coudet,1:0,1,0,Internacional
Campeonato Gaúcho,qua 24/01/24,São Luiz,Internacional,4-1-3-2,Eduardo Coudet,0:0,0,0,Empate
Campeonato Gaúcho,sáb 27/01/24,Internacional,Ypiranga-RS,4-4-2 losango,Eduardo Coudet,3:0,3,0,Internacional
Campeonato Gaúcho,qua 31/01/24,Guarany Bagé,Internacional,4-4-2 duplo 6,Eduardo Coudet,2:1,2,1,Guarany Bagé
Campeonato Gaúcho,sáb 03/02/24,Internacional,Caxias,4-4-2,Eduardo Coudet,2:0,2,0,Internacional
Campeonato Gaúcho,qua 07/02/24,Santa Cruz-RS,Internacional,4-1-3-2,Eduardo Coudet,0:2,0,2,Internacional
Campeonato Gaúcho,dom 11/02/24,São José-RS,Internacional,4-4-2 duplo 6,Eduardo Coudet,0:1,0,1,Internacional
Campeonato Gaúcho,qua 14/02/24,Internacional,Brasil Pelotas,4-4-2 losango,Lucho González,3:1,3,1,Internacional
Campeonato Gaúcho,dom 18/02/24,Novo Hamburgo,Internacional,4-1-3-2,Eduardo Coudet,1:3,1,3,Internacional
Campeonato Gaúcho,dom 25/02/24,Internacional,Grêmio,4-1-3-2,Eduardo Coudet,3:2,3,2,Internacional
Copa do Brasil,qua 28/02/24,ASA,Internacional,4-2-3-1,Eduardo Coudet,0:2,0,2,Internacional
Campeonato Gaúcho,sáb 02/03/24,Juventude,Internacional,4-1-3-2,Lucho González,1:2,1,2,Internacional
Campeonato Gaúcho - Fase Final,sáb 09/03/24,Internacional,São Luiz,4-4-2,Eduardo Coudet,3:0,3,0,Internacional
Copa do Brasil,qua 13/03/24,Nova Iguaçu,Internacional,4-2-3-1,Eduardo Coudet,0:2,0,2,Internacional
Campeonato Gaúcho - Fase Final,dom 17/03/24,Juventude,Internacional,4-4-2,Eduardo Coudet,0:0,0,0,Empate
Campeonato Gaúcho - Fase Final,seg 25/03/24,Internacional,Juventude,4-1-3-2,Eduardo Coudet,1:1,1,1,Empate
Copa Sul-Americana,ter 02/04/24,Belgrano,Internacional,4-4-2,Eduardo Coudet,0:0,0,0,Empate
Copa Sul-Americana,qua 10/04/24,Internacional,Real Tomayapo,4-4-2 losango,Eduardo Coudet,0:0,0,0,Empate
Campeonato Brasileiro Série A,sáb 13/04/24,Internacional,Bahia,4-4-2,Eduardo Coudet,2:1,2,1,Internacional
Campeonato Brasileiro Série A,qua 17/04/24,Palmeiras,Internacional,4-2-3-1,Eduardo Coudet,0:1,0,1,Internacional
Campeonato Brasileiro Série A,dom 21/04/24,Athletico-PR,Internacional,4-2-3-1,Eduardo Coudet,1:0,1,0,Athletico-PR
Copa Sul-Americana,qui 25/04/24,Delfín SC,Internacional,4-2-3-1,Eduardo Coudet,1:2,1,2,Internacional
Campeonato Brasileiro Série A,dom 28/04/24,Internacional,Atlético-GO,4-4-2,Eduardo Coudet,1:1,1,1,Empate
Copa Sul-Americana,ter 28/05/24,Internacional,Belgrano,4-1-3-2,Eduardo Coudet,1:2,1,2,Belgrano
Campeonato Brasileiro Série A,sáb 01/06/24,Cuiabá,Internacional,4-1-3-2,Eduardo Coudet,0:1,0,1,Internacional
Copa Sul-Americana,ter 04/06/24,Real Tomayapo,Internacional,4-1-3-2,Eduardo Coudet,0:2,0,2,Internacional
Copa Sul-Americana,sáb 08/06/24,Internacional,Delfín SC,4-4-2 duplo 6,Eduardo Coudet,1:0,1,0,Internacional
Campeonato Brasileiro Série A,qui 13/06/24,Internacional,São Paulo,4-1-3-2,Eduardo Coudet,0:0,0,0,Empate
Campeonato Brasileiro Série A,dom 16/06/24,Vitória,Internacional,4-2-3-1,Eduardo Coudet,2:1,2,1,Vitória
Campeonato Brasileiro Série A,qua 19/06/24,Internacional,Corinthians,4-2-3-1,Eduardo Coudet,1:0,1,0,Internacional
Campeonato Brasileiro Série A,sáb 22/06/24,Grêmio,Internacional,4-2-3-1,Eduardo Coudet,0:1,0,1,Internacional
Campeonato Brasileiro Série A,qua 26/06/24,Internacional,Atlético-MG,4-3-3 ofensivo,Eduardo Coudet,1:2,1,2,Atlético-MG
Campeonato Brasileiro Série A,dom 30/06/24,Criciúma,Internacional,4-2-3-1,Eduardo Coudet,1:1,1,1,Empate
Campeonato Brasileiro Série A,qui 04/07/24,Fluminense,Internacional,4-2-3-1,Eduardo Coudet,1:1,1,1,Empate
Campeonato Brasileiro Série A,dom 07/07/24,Internacional,Vasco da Gama,4-2-3-1,Eduardo Coudet,1:2,1,2,Vasco da Gama
Copa do Brasil,qua 10/07/24,Internacional,Juventude,4-2-3-1,Eduardo Coudet,1:2,1,2,Juventude
Copa do Brasil,sáb 13/07/24,Juventude,Internacional,4-4-2 duplo 6,Pablo de Toledo,1:1,1,1,Empate
Copa Sul-Americana,ter 16/07/24,Rosario Central,Internacional,4-2-3-1,Pablo de Toledo,1:0,1,0,Rosario Central
Campeonato Brasileiro Série A,sáb 20/07/24,Botafogo,Internacional,4-1-3-2,Roger Machado,1:0,1,0,Botafogo
Copa Sul-Americana,ter 23/07/24,Internacional,Rosario Central,4-3-3 ofensivo,Roger Machado,1:1,1,1,Empate
Campeonato Brasileiro Série A,sáb 27/07/24,Bahia,Internacional,4-4-1-1,Roger Machado,1:1,1,1,Empate
Campeonato Brasileiro Série A,dom 04/08/24,Internacional,Palmeiras,4-2-3-1,Roger Machado,1:1,1,1,Empate
