Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Gaúcho,sáb 20/01/24,Santa Cruz-RS,Juventude,4-3-3 defensivo,Roger Machado,0:1,0,1,Juventude
Campeonato Gaúcho,qua 24/01/24,Juventude,Guarany Bagé,4-2-3-1,Roger Machado,4:0,4,0,Juventude
Campeonato Gaúcho,sáb 27/01/24,São José-RS,Juventude,4-2-3-1,Roger Machado,1:0,1,0,São José-RS
Campeonato Gaúcho,qua 31/01/24,Grêmio,Juventude,4-2-3-1,Roger Machado,1:0,1,0,Grêmio
Campeonato Gaúcho,dom 04/02/24,Juventude,Ypiranga-RS,4-1-4-1,Roger Machado,3:0,3,0,Juventude
Campeonato Gaúcho,qua 07/02/24,Juventude,Avenida,4-1-4-1,Roger Machado,3:1,3,1,Juventude
Campeonato Gaúcho,sáb 10/02/24,Novo Hamburgo,Juventude,4-3-1-2,Roger Machado,1:1,1,1,Empate
Campeonato Gaúcho,ter 13/02/24,São Luiz,Juventude,4-3-3 ofensivo,Roger Machado,1:1,1,1,Empate
Campeonato Gaúcho,seg 19/02/24,Juventude,Caxias,4-4-2 duplo 6,Roger Machado,1:1,1,1,Empate
Campeonato Gaúcho,sáb 24/02/24,Brasil Pelotas,Juventude,4-2-3-1,Roger Machado,1:0,1,0,Brasil Pelotas
Copa do Brasil,ter 27/02/24,Iguatu,Juventude,4-3-1-2,Roger Machado,0:0,0,0,Empate
Campeonato Gaúcho,sáb 02/03/24,Juventude,Internacional,4-4-2,Roger Machado,1:2,1,2,Internacional
Campeonato Gaúcho - Fase Final,sáb 09/03/24,Guarany Bagé,Juventude,4-1-4-1,Roger Machado,0:4,0,4,Juventude
Copa do Brasil,qua 13/03/24,Juventude,Paysandu,?,Roger Machado,3:1,3,1,Juventude
Campeonato Gaúcho - Fase Final,dom 17/03/24,Juventude,Internacional,4-4-2 duplo 6,Roger Machado,0:0,0,0,Empate
Campeonato Gaúcho - Fase Final,seg 25/03/24,Internacional,Juventude,4-4-1-1,Roger Machado,1:1,1,1,Empate
Campeonato Gaúcho - Fase Final,sáb 30/03/24,Juventude,Grêmio,4-2-3-1,Roger Machado,0:0,0,0,Empate
Campeonato Gaúcho - Fase Final,sáb 06/04/24,Grêmio,Juventude,4-4-2 duplo 6,Roger Machado,3:1,3,1,Grêmio
Campeonato Brasileiro Série A,sáb 13/04/24,Criciúma,Juventude,4-4-2,Roger Machado,1:1,1,1,Empate
Campeonato Brasileiro Série A,qua 17/04/24,Juventude,Corinthians,4-4-2,Roger Machado,2:0,2,0,Juventude
Campeonato Brasileiro Série A,dom 21/04/24,Botafogo,Juventude,4-2-3-1,Roger Machado,5:1,5,1,Botafogo
Campeonato Brasileiro Série A,dom 28/04/24,Juventude,Athletico-PR,4-2-3-1,Roger Machado,1:1,1,1,Empate
Campeonato Brasileiro Série A,sáb 01/06/24,Fluminense,Juventude,4-2-3-1,Roger Machado,1:1,1,1,Empate
Campeonato Brasileiro Série A,qua 05/06/24,Juventude,Atlético-GO,4-2-3-1,Roger Machado,1:0,1,0,Juventude
Campeonato Brasileiro Série A,ter 11/06/24,Juventude,Vitória,4-2-3-1,Roger Machado,1:1,1,1,Empate
Campeonato Brasileiro Série A,sáb 15/06/24,Bragantino,Juventude,4-2-3-1,Roger Machado,2:1,2,1,Bragantino
Campeonato Brasileiro Série A,qua 19/06/24,Juventude,Vasco da Gama,4-2-3-1,Roger Machado,2:0,2,0,Juventude
Campeonato Brasileiro Série A,dom 23/06/24,Palmeiras,Juventude,4-2-3-1,Roger Machado,3:1,3,1,Palmeiras
Campeonato Brasileiro Série A,qua 26/06/24,Juventude,Flamengo,4-2-3-1,Roger Machado,2:1,2,1,Juventude
Campeonato Brasileiro Série A,dom 30/06/24,Fortaleza,Juventude,4-2-3-1,Roger Machado,2:1,2,1,Fortaleza
Campeonato Brasileiro Série A,qui 04/07/24,Bahia,Juventude,4-2-3-1,Roger Machado,2:0,2,0,Bahia
Campeonato Brasileiro Série A,dom 07/07/24,Juventude,Grêmio,4-2-3-1,Roger Machado,3:0,3,0,Juventude
Copa do Brasil,qua 10/07/24,Internacional,Juventude,4-2-3-1,Roger Machado,1:2,1,2,Juventude
Copa do Brasil,sáb 13/07/24,Juventude,Internacional,4-2-3-1,Roger Machado,1:1,1,1,Empate
Campeonato Brasileiro Série A,ter 16/07/24,Juventude,Atlético-MG,4-2-3-1,Roger Machado,1:1,1,1,Empate
Campeonato Brasileiro Série A,dom 21/07/24,Juventude,São Paulo,4-2-3-1,Jair Ventura,0:0,0,0,Empate
Campeonato Brasileiro Série A,qua 24/07/24,Cruzeiro,Juventude,4-2-3-1,Jair Ventura,2:0,2,0,Cruzeiro
Campeonato Brasileiro Série A,sáb 27/07/24,Juventude,Criciúma,4-2-3-1,Jair Ventura,1:2,1,2,Criciúma
Copa do Brasil,qui 01/08/24,Juventude,Fluminense,4-2-3-1,Jair Ventura,3:2,3,2,Juventude
Campeonato Brasileiro Série A,dom 04/08/24,Corinthians,Juventude,4-2-3-1,Jair Ventura,1:1,1,1,Empate
Copa do Brasil,qua 07/08/24,Fluminense,Juventude,4-2-3-1,Jair Ventura,2:2,2,2,Empate
Campeonato Brasileiro Série A,dom 11/08/24,Juventude,Botafogo,4-4-2,Jair Ventura,3:2,3,2,Juventude
Campeonato Brasileiro Série A,qua 14/08/24,Internacional,Juventude,4-4-2,Jair Ventura,2:1,2,1,Internacional
Campeonato Brasileiro Série A,dom 18/08/24,Athletico-PR,Juventude,4-2-3-1,Jair Ventura,1:2,1,2,Juventude
Campeonato Brasileiro Série A,sáb 24/08/24,Atlético-GO,Juventude,4-2-3-1,Jair Ventura,2:1,2,1,Atlético-GO
Copa do Brasil,qui 29/08/24,Juventude,Corinthians,4-2-3-1,Jair Ventura,2:1,2,1,Juventude
Campeonato Brasileiro Série A,dom 01/09/24,Juventude,Internacional,4-2-3-1,Jair Ventura,1:3,1,3,Internacional
Campeonato Brasileiro Série A,qui 05/09/24,Cuiabá,Juventude,4-2-3-1,Jair Ventura,0:0,0,0,Empate
Copa do Brasil,qua 11/09/24,Corinthians,Juventude,4-3-3 ofensivo,Jair Ventura,3:1,3,1,Corinthians
Campeonato Brasileiro Série A,dom 15/09/24,Juventude,Fluminense,4-2-3-1,Jair Ventura,2:1,2,1,Juventude
