Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Paulista - Série A1 - Primeira fase,dom 21/01/24,Novorizontino,Palmeiras,3-4-1-2,Abel Ferreira,1:1,1,1,Empate
Campeonato Paulista - Série A1 - Primeira fase,qua 24/01/24,Palmeiras,Inter Limeira,3-4-1-2,Abel Ferreira,3:2,3,2,Palmeiras
Campeonato Paulista - Série A1 - Primeira fase,dom 28/01/24,Palmeiras,Santos,4-2-3-1,Abel Ferreira,2:1,2,1,Palmeiras
Campeonato Paulista - Série A1 - Primeira fase,qua 31/01/24,Bragantino,Palmeiras,5-3-2,Abel Ferreira,0:1,0,1,Palmeiras
Supercopa Rei,dom 04/02/24,Palmeiras,São Paulo,3-4-2-1,Abel Ferreira,0:0,0,0,Empate
Campeonato Paulista - Série A1 - Primeira fase,qui 08/02/24,Palmeiras,Ituano,3-5-2 plano,Abel Ferreira,2:0,2,0,Palmeiras
Campeonato Paulista - Série A1 - Primeira fase,seg 12/02/24,Santo André,Palmeiras,3-5-2 plano,Abel Ferreira,1:1,1,1,Empate
Campeonato Paulista - Série A1 - Primeira fase,qui 15/02/24,São Bernardo,Palmeiras,3-5-2 plano,Abel Ferreira,0:1,0,1,Palmeiras
Campeonato Paulista - Série A1 - Primeira fase,dom 18/02/24,Palmeiras,Corinthians,3-5-2 plano,Abel Ferreira,2:2,2,2,Empate
Campeonato Paulista - Série A1 - Primeira fase,sáb 24/02/24,Palmeiras,Mirassol,4-1-3-2,Abel Ferreira,3:1,3,1,Palmeiras
Campeonato Paulista - Série A1 - Primeira fase,qua 28/02/24,Portuguesa,Palmeiras,3-4-2-1,Abel Ferreira,0:2,0,2,Palmeiras
Campeonato Paulista - Série A1 - Primeira fase,dom 03/03/24,São Paulo,Palmeiras,3-4-2-1,Abel Ferreira,1:1,1,1,Empate
Campeonato Paulista - Série A1 - Primeira fase,sáb 09/03/24,Palmeiras,Botafogo-SP,3-4-1-2,Abel Ferreira,1:0,1,0,Palmeiras
Campeonato Paulista - Série A1 - Fase final,sáb 16/03/24,Palmeiras,Ponte Preta,3-4-1-2,Abel Ferreira,5:1,5,1,Palmeiras
Campeonato Paulista - Série A1 - Fase final,qui 28/03/24,Palmeiras,Novorizontino,3-4-1-2,Abel Ferreira,1:0,1,0,Palmeiras
Campeonato Paulista - Série A1 - Fase final,dom 31/03/24,Santos,Palmeiras,4-2-3-1,Abel Ferreira,1:0,1,0,Santos
Copa Libertadores,qua 03/04/24,San Lorenzo,Palmeiras,3-4-2-1,Abel Ferreira,1:1,1,1,Empate
Campeonato Paulista - Série A1 - Fase final,dom 07/04/24,Palmeiras,Santos,3-4-1-2,Abel Ferreira,2:0,2,0,Palmeiras
Copa Libertadores,qui 11/04/24,Palmeiras,Liverpool FC,4-2-3-1,Abel Ferreira,3:1,3,1,Palmeiras
Campeonato Brasileiro Série A,dom 14/04/24,Vitória,Palmeiras,4-2-3-1,Abel Ferreira,0:1,0,1,Palmeiras
Campeonato Brasileiro Série A,qua 17/04/24,Palmeiras,Internacional,3-4-2-1,Abel Ferreira,0:1,0,1,Internacional
Campeonato Brasileiro Série A,dom 21/04/24,Palmeiras,Flamengo,3-4-2-1,Abel Ferreira,0:0,0,0,Empate
Copa Libertadores,qua 24/04/24,Independiente,Palmeiras,4-2-3-1,Abel Ferreira,2:3,2,3,Palmeiras
Campeonato Brasileiro Série A,seg 29/04/24,São Paulo,Palmeiras,4-2-3-1,Abel Ferreira,0:0,0,0,Empate
Copa do Brasil,qui 02/05/24,Palmeiras,Botafogo-SP,4-2-3-1,Abel Ferreira,2:1,2,1,Palmeiras
Campeonato Brasileiro Série A,dom 05/05/24,Cuiabá,Palmeiras,3-4-2-1,Abel Ferreira,0:2,0,2,Palmeiras
Copa Libertadores,qui 09/05/24,Liverpool FC,Palmeiras,4-2-3-1,Abel Ferreira,0:5,0,5,Palmeiras
Campeonato Brasileiro Série A,dom 12/05/24,Palmeiras,Athletico-PR,4-2-3-1,Abel Ferreira,0:2,0,2,Athletico-PR
Copa Libertadores,qua 15/05/24,Palmeiras,Independiente,4-4-2,Abel Ferreira,2:1,2,1,Palmeiras
Copa do Brasil,qui 23/05/24,Botafogo-SP,Palmeiras,4-2-3-1,Abel Ferreira,0:0,0,0,Empate
Copa Libertadores,qui 30/05/24,Palmeiras,San Lorenzo,4-2-3-1,Abel Ferreira,0:0,0,0,Empate
Campeonato Brasileiro Série A,dom 02/06/24,Criciúma,Palmeiras,4-2-3-1,Carlos Martinho,1:2,1,2,Palmeiras
Campeonato Brasileiro Série A,qui 13/06/24,Palmeiras,Vasco da Gama,4-2-3-1,Abel Ferreira,2:0,2,0,Palmeiras
Campeonato Brasileiro Série A,seg 17/06/24,Atlético-MG,Palmeiras,4-2-3-1,Abel Ferreira,0:4,0,4,Palmeiras
Campeonato Brasileiro Série A,qui 20/06/24,Palmeiras,Bragantino,4-2-3-1,Abel Ferreira,2:1,2,1,Palmeiras
Campeonato Brasileiro Série A,dom 23/06/24,Palmeiras,Juventude,4-2-3-1,Abel Ferreira,3:1,3,1,Palmeiras
Campeonato Brasileiro Série A,qua 26/06/24,Fortaleza,Palmeiras,3-4-2-1,Abel Ferreira,3:0,3,0,Fortaleza
Campeonato Brasileiro Série A,seg 01/07/24,Palmeiras,Corinthians,4-2-3-1,Abel Ferreira,2:0,2,0,Palmeiras
Campeonato Brasileiro Série A,qui 04/07/24,Grêmio,Palmeiras,4-3-3 ofensivo,Abel Ferreira,2:2,2,2,Empate
Campeonato Brasileiro Série A,dom 07/07/24,Palmeiras,Bahia,4-2-3-1,Abel Ferreira,2:0,2,0,Palmeiras
Campeonato Brasileiro Série A,qui 11/07/24,Palmeiras,Atlético-GO,4-2-3-1,Abel Ferreira,3:1,3,1,Palmeiras
Campeonato Brasileiro Série A,qua 17/07/24,Botafogo,Palmeiras,4-2-3-1,Abel Ferreira,1:0,1,0,Botafogo
Campeonato Brasileiro Série A,sáb 20/07/24,Palmeiras,Cruzeiro,4-2-3-1,Abel Ferreira,2:0,2,0,Palmeiras
Campeonato Brasileiro Série A,qua 24/07/24,Fluminense,Palmeiras,4-2-3-1,Abel Ferreira,1:0,1,0,Fluminense
