Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Paulista,qui 16/01/25,Santos,Mirassol,4-2-3-1,Pedro Caixinha,2:1,2,1,Santos
Campeonato Paulista,dom 19/01/25,Ponte Preta,Santos,4-2-3-1,Pedro Caixinha,1:1,1,1,Empate
Campeonato Paulista,qua 22/01/25,Santos,Palmeiras,4-2-3-1,Pedro Caixinha,1:2,1,2,Palmeiras
Campeonato Paulista,sáb 25/01/25,Velo Clube,Santos,4-2-3-1,Pedro Caixinha,2:1,2,1,Velo Clube
Campeonato Paulista,qua 29/01/25,São Bernardo,Santos,4-2-3-1,Pedro Caixinha,3:1,3,1,São Bernardo
Campeonato Paulista,sáb 01/02/25,Santos,São Paulo,4-2-3-1,Pedro Caixinha,3:1,3,1,Santos
Campeonato Paulista,qua 05/02/25,Santos,Botafogo-SP,4-2-3-1,Pedro Caixinha,1:1,1,1,Empate
Campeonato Paulista,dom 09/02/25,Novorizontino,Santos,4-2-3-1,Pedro Caixinha,0:0,0,0,Empate
Campeonato Paulista,qua 12/02/25,Corinthians,Santos,3-4-1-2,Pedro Caixinha,2:1,2,1,Corinthians
Campeonato Paulista,dom 16/02/25,Santos,Água Santa,4-2-3-1,Pedro Caixinha,3:1,3,1,Santos
Campeonato Paulista,qua 19/02/25,Santos,Noroeste,4-2-3-1,Pedro Caixinha,3:0,3,0,Santos
Campeonato Paulista,dom 23/02/25,Inter Limeira,Santos,4-2-3-1,Pedro Caixinha,0:3,0,3,Santos
Campeonato Paulista,dom 02/03/25,Santos,Bragantino,4-2-3-1,Pedro Caixinha,2:0,2,0,Santos
