Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Pernambucano,sáb 11/01/25,Afogados,Sport,4-2-3-1,César Lucena,1:1,1,1,Empate
Campeonato Pernambucano,ter 14/01/25,Sport,Decisão,?,Pepa,1:1,1,1,Empate
Campeonato Pernambucano,sáb 18/01/25,Sport,Retrô,?,César Lucena,1:1,1,1,Empate
Copa do Nordeste,qua 22/01/25,Ferroviário,Sport,?,Pepa,1:2,1,2,Sport
Campeonato Pernambucano,dom 26/01/25,Central,Sport,?,Pepa,0:1,0,1,Sport
Campeonato Pernambucano,qua 29/01/25,Sport,Jaguar-PE,?,Pepa,4:1,4,1,Sport
Campeonato Pernambucano,sáb 01/02/25,Santa Cruz,Sport,?,Pepa,1:0,1,0,Santa Cruz
Copa do Nordeste,ter 04/02/25,Sport,Fortaleza,,Pepa,0:2,0,2,Fortaleza
Campeonato Pernambucano,sáb 08/02/25,Sport,Maguary,?,Pepa,5:0,5,0,Sport
Copa do Nordeste,ter 11/02/25,Sousa,Sport,,Pepa,1:2,1,2,Sport
Campeonato Pernambucano,sáb 15/02/25,Sport,Náutico,?,Pepa,1:2,1,2,Náutico
Copa do Nordeste,qua 19/02/25,Sport,Moto Club,,Pepa,5:0,5,0,Sport
Campeonato Pernambucano,sáb 22/02/25,Petrolina,Sport,?,Pepa,1:3,1,3,Sport
Copa do Brasil,ter 25/02/25,Operário VG,Sport,,Pepa,0:0,0,0,Empate
Campeonato Pernambucano,dom 02/03/25,Sport,Decisão,,,3:0,3,0,Sport
