Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Paulista - Série A1 - Primeira fase,sáb 20/01/24,São Paulo,Santo André,4-2-3-1,Thiago Carpini,3:1,3,1,São Paulo
Campeonato Paulista - Série A1 - Primeira fase,ter 23/01/24,Mirassol,São Paulo,3-4-2-1,Thiago Carpini,1:1,1,1,Empate
Campeonato Paulista - Série A1 - Primeira fase,sáb 27/01/24,São Paulo,Portuguesa,4-4-2,Thiago Carpini,1:0,1,0,São Paulo
Campeonato Paulista - Série A1 - Primeira fase,ter 30/01/24,Corinthians,São Paulo,4-2-3-1,Thiago Carpini,1:2,1,2,São Paulo
Supercopa Rei,dom 04/02/24,Palmeiras,São Paulo,4-2-3-1,Thiago Carpini,0:0,0,0,Empate
Campeonato Paulista - Série A1 - Primeira fase,qua 07/02/24,São Paulo,Água Santa,4-3-3 ofensivo,Thiago Carpini,3:0,3,0,São Paulo
Campeonato Paulista - Série A1 - Primeira fase,sáb 10/02/24,Ponte Preta,São Paulo,4-2-3-1,Thiago Carpini,2:0,2,0,Ponte Preta
Campeonato Paulista - Série A1 - Primeira fase,qua 14/02/24,São Paulo,Santos,4-4-2 losango,Thiago Carpini,0:1,0,1,Santos
Campeonato Paulista - Série A1 - Primeira fase,sáb 17/02/24,São Paulo,Bragantino,4-2-3-1,Thiago Carpini,2:2,2,2,Empate
Campeonato Paulista - Série A1 - Primeira fase,dom 25/02/24,Guarani,São Paulo,4-2-3-1,Thiago Carpini,1:1,1,1,Empate
Campeonato Paulista - Série A1 - Primeira fase,qua 28/02/24,Inter Limeira,São Paulo,4-2-3-1,Thiago Carpini,0:3,0,3,São Paulo
Campeonato Paulista - Série A1 - Primeira fase,dom 03/03/24,São Paulo,Palmeiras,3-4-3 plano,Thiago Carpini,1:1,1,1,Empate
Campeonato Paulista - Série A1 - Primeira fase,dom 10/03/24,Ituano,São Paulo,4-4-2,Thiago Carpini,2:3,2,3,São Paulo
Campeonato Paulista - Série A1 - Fase final,dom 17/03/24,São Paulo,Novorizontino,4-4-2,Thiago Carpini,1:1,1,1,Empate
Copa Libertadores,qui 04/04/24,CA Talleres,São Paulo,4-2-3-1,Thiago Carpini,2:1,2,1,CA Talleres
Copa Libertadores,qua 10/04/24,São Paulo,Cobresal,3-4-2-1,Thiago Carpini,2:0,2,0,São Paulo
Campeonato Brasileiro Série A,sáb 13/04/24,São Paulo,Fortaleza,3-4-1-2,Thiago Carpini,1:2,1,2,Fortaleza
Campeonato Brasileiro Série A,qua 17/04/24,Flamengo,São Paulo,3-4-2-1,Thiago Carpini,2:1,2,1,Flamengo
Campeonato Brasileiro Série A,dom 21/04/24,Atlético-GO,São Paulo,3-4-2-1,Milton Cruz,0:3,0,3,São Paulo
Copa Libertadores,qui 25/04/24,Barcelona SC,São Paulo,4-2-3-1,Luis Zubeldía,0:2,0,2,São Paulo
Campeonato Brasileiro Série A,seg 29/04/24,São Paulo,Palmeiras,3-4-2-1,Luis Zubeldía,0:0,0,0,Empate
Copa do Brasil,qui 02/05/24,Águia de Marabá,São Paulo,4-2-3-1,Luis Zubeldía,1:3,1,3,São Paulo
Campeonato Brasileiro Série A,dom 05/05/24,Vitória,São Paulo,3-4-1-2,Luis Zubeldía,1:3,1,3,São Paulo
Copa Libertadores,qua 08/05/24,Cobresal,São Paulo,4-2-3-1,Luis Zubeldía,1:3,1,3,São Paulo
Campeonato Brasileiro Série A,seg 13/05/24,São Paulo,Fluminense,4-2-3-1,Luis Zubeldía,2:1,2,1,São Paulo
Copa Libertadores,qui 16/05/24,São Paulo,Barcelona SC,4-2-3-1,Luis Zubeldía,0:0,0,0,Empate
Copa do Brasil,qui 23/05/24,São Paulo,Águia de Marabá,4-2-3-1,Luis Zubeldía,2:0,2,0,São Paulo
Copa Libertadores,qua 29/05/24,São Paulo,CA Talleres,4-2-3-1,Luis Zubeldía,2:0,2,0,São Paulo
