Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Carioca - Taça Guanabara,qui 18/01/24,Vasco da Gama,Boavista,4-3-3 ofensivo,Ramón Díaz,2:0,2,0,Vasco da Gama
Campeonato Carioca - Taça Guanabara,dom 21/01/24,Sampaio-RJ,Vasco da Gama,4-4-2,Ramón Díaz,3:3,3,3,Empate
Campeonato Carioca - Taça Guanabara,qui 25/01/24,Vasco da Gama,Madureira,4-4-2,Ramón Díaz,2:0,2,0,Vasco da Gama
Campeonato Carioca - Taça Guanabara,dom 28/01/24,Bangu,Vasco da Gama,4-3-3 defensivo,Ramón Díaz,2:2,2,2,Empate
Campeonato Carioca - Taça Guanabara,qua 31/01/24,Nova Iguaçu,Vasco da Gama,4-4-2 duplo 6,Ramón Díaz,2:0,2,0,Nova Iguaçu
Campeonato Carioca - Taça Guanabara,dom 04/02/24,Vasco da Gama,Flamengo,5-3-2,Ramón Díaz,0:0,0,0,Empate
Campeonato Carioca - Taça Guanabara,qui 08/02/24,Vasco da Gama,Audax-RJ,4-4-2,Ramón Díaz,1:0,1,0,Vasco da Gama
Campeonato Carioca - Taça Guanabara,qua 14/02/24,Fluminense,Vasco da Gama,5-4-1 plano,Ramón Díaz,0:0,0,0,Empate
Campeonato Carioca - Taça Guanabara,dom 18/02/24,Botafogo,Vasco da Gama,3-5-2 plano,Ramón Díaz,2:4,2,4,Vasco da Gama
Campeonato Carioca - Taça Guanabara,sáb 24/02/24,Vasco da Gama,Volta Redonda,3-4-2-1,Ramón Díaz,2:1,2,1,Vasco da Gama
Copa do Brasil,ter 27/02/24,Marcílio Dias,Vasco da Gama,3-4-2-1,Ramón Díaz,1:3,1,3,Vasco da Gama
Campeonato Carioca - Taça Guanabara,dom 03/03/24,Vasco da Gama,Portuguesa-RJ,3-5-2 plano,Ramón Díaz,4:0,4,0,Vasco da Gama
Copa do Brasil,qui 07/03/24,Vasco da Gama,Água Santa,5-4-1 plano,Ramón Díaz,3:3,3,3,Empate
Campeonato Carioca - Final,dom 10/03/24,Vasco da Gama,Nova Iguaçu,4-3-1-2,Ramón Díaz,1:1,1,1,Empate
Campeonato Carioca - Final,dom 17/03/24,Nova Iguaçu,Vasco da Gama,4-2-3-1,Ramón Díaz,1:0,1,0,Nova Iguaçu
Campeonato Brasileiro Série A,dom 14/04/24,Vasco da Gama,Grêmio,4-3-3 ofensivo,Ramón Díaz,2:1,2,1,Vasco da Gama
Campeonato Brasileiro Série A,qua 17/04/24,Bragantino,Vasco da Gama,4-3-3 ofensivo,Ramón Díaz,2:1,2,1,Bragantino
Campeonato Brasileiro Série A,sáb 20/04/24,Fluminense,Vasco da Gama,4-3-3 ofensivo,Ramón Díaz,2:1,2,1,Fluminense
Campeonato Brasileiro Série A,sáb 27/04/24,Vasco da Gama,Criciúma,4-2-3-1,Ramón Díaz,0:4,0,4,Criciúma
Copa do Brasil,qua 01/05/24,Fortaleza,Vasco da Gama,3-4-3 plano,Rafael Paiva,0:0,0,0,Empate
Campeonato Brasileiro Série A,dom 05/05/24,Athletico-PR,Vasco da Gama,4-3-3 ofensivo,Rafael Paiva,1:0,1,0,Athletico-PR
Campeonato Brasileiro Série A,dom 12/05/24,Vasco da Gama,Vitória,4-2-3-1,Rafael Paiva,2:1,2,1,Vasco da Gama
Copa do Brasil,ter 21/05/24,Vasco da Gama,Fortaleza,4-2-3-1,Rafael Paiva,3:3,3,3,Empate
Campeonato Brasileiro Série A,dom 02/06/24,Vasco da Gama,Flamengo,3-4-2-1,Álvaro Pacheco,1:6,1,6,Flamengo
Campeonato Brasileiro Série A,qui 13/06/24,Palmeiras,Vasco da Gama,5-4-1 plano,Álvaro Pacheco,2:0,2,0,Palmeiras
Campeonato Brasileiro Série A,dom 16/06/24,Vasco da Gama,Cruzeiro,4-2-3-1,Álvaro Pacheco,0:0,0,0,Empate
Campeonato Brasileiro Série A,qua 19/06/24,Juventude,Vasco da Gama,4-2-3-1,Álvaro Pacheco,2:0,2,0,Juventude
Campeonato Brasileiro Série A,sáb 22/06/24,Vasco da Gama,São Paulo,4-2-3-1,Rafael Paiva,4:1,4,1,Vasco da Gama
Campeonato Brasileiro Série A,qua 26/06/24,Bahia,Vasco da Gama,4-2-3-1,Rafael Paiva,2:1,2,1,Bahia
Campeonato Brasileiro Série A,sáb 29/06/24,Vasco da Gama,Botafogo,4-2-3-1,Rafael Paiva,1:1,1,1,Empate
Campeonato Brasileiro Série A,qua 03/07/24,Vasco da Gama,Fortaleza,4-2-3-1,Rafael Paiva,2:0,2,0,Vasco da Gama
Campeonato Brasileiro Série A,dom 07/07/24,Internacional,Vasco da Gama,4-2-3-1,Rafael Paiva,1:2,1,2,Vasco da Gama
Campeonato Brasileiro Série A,qua 10/07/24,Vasco da Gama,Corinthians,4-2-3-1,Rafael Paiva,2:0,2,0,Vasco da Gama
Campeonato Brasileiro Série A,qua 17/07/24,Atlético-GO,Vasco da Gama,4-2-3-1,Rafael Paiva,0:1,0,1,Vasco da Gama
Campeonato Brasileiro Série A,dom 21/07/24,Atlético-MG,Vasco da Gama,4-2-3-1,Rafael Paiva,2:0,2,0,Atlético-MG
Campeonato Brasileiro Série A,dom 28/07/24,Grêmio,Vasco da Gama,4-2-3-1,Rafael Paiva,1:0,1,0,Grêmio
Copa do Brasil,qua 31/07/24,Atlético-GO,Vasco da Gama,4-2-3-1,Rafael Paiva,1:1,1,1,Empate
Campeonato Brasileiro Série A,sáb 03/08/24,Vasco da Gama,Bragantino,4-2-3-1,Rafael Paiva,2:2,2,2,Empate
Copa do Brasil,ter 06/08/24,Vasco da Gama,Atlético-GO,4-3-2-1,Rafael Paiva,1:0,1,0,Vasco da Gama
Campeonato Brasileiro Série A,sáb 10/08/24,Vasco da Gama,Fluminense,4-2-3-1,Rafael Paiva,2:0,2,0,Vasco da Gama
Campeonato Brasileiro Série A,dom 18/08/24,Criciúma,Vasco da Gama,4-2-3-1,Rafael Paiva,2:2,2,2,Empate
Campeonato Brasileiro Série A,seg 26/08/24,Vasco da Gama,Athletico-PR,4-2-3-1,Rafael Paiva,2:1,2,1,Vasco da Gama
Copa do Brasil,qui 29/08/24,Vasco da Gama,Athletico-PR,4-2-3-1,Rafael Paiva,2:1,2,1,Vasco da Gama
Campeonato Brasileiro Série A,dom 01/09/24,Vitória,Vasco da Gama,4-2-3-1,Rafael Paiva,0:1,0,1,Vasco da Gama
Copa do Brasil,qua 11/09/24,Athletico-PR,Vasco da Gama,4-2-3-1,Rafael Paiva,2:1,2,1,Athletico-PR
Campeonato Brasileiro Série A,dom 15/09/24,Flamengo,Vasco da Gama,4-2-3-1,Rafael Paiva,1:1,1,1,Empate
Campeonato Brasileiro Série A,dom 22/09/24,Vasco da Gama,Palmeiras,4-2-3-1,Rafael Paiva,0:1,0,1,Palmeiras
Campeonato Brasileiro Série A,dom 29/09/24,Cruzeiro,Vasco da Gama,4-2-3-1,Rafael Paiva,1:1,1,1,Empate
Copa do Brasil,qua 02/10/24,Atlético-MG,Vasco da Gama,4-2-3-1,Rafael Paiva,2:1,2,1,Atlético-MG
Campeonato Brasileiro Série A,sáb 05/10/24,Vasco da Gama,Juventude,4-2-3-1,Rafael Paiva,1:1,1,1,Empate
Campeonato Brasileiro Série A,qua 16/10/24,São Paulo,Vasco da Gama,4-2-3-1,Rafael Paiva,3:0,3,0,São Paulo
Copa do Brasil,sáb 19/10/24,Vasco da Gama,Atlético-MG,4-2-3-1,Rafael Paiva,1:1,1,1,Empate
