Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Baiano,qua 17/01/24,Jacuipense,Vitória,4-2-3-1,Léo Condé,0:1,0,1,Vitória
Campeonato Baiano,sáb 20/01/24,Vitória,Bahia de Feira,4-2-3-1,Léo Condé,1:0,1,0,Vitória
Campeonato Baiano,qua 24/01/24,Barcelona-BA,Vitória,4-3-3 defensivo,Léo Condé,2:1,2,1,Barcelona-BA
Campeonato Baiano,dom 28/01/24,Vitória,Juazeirense,4-2-3-1,Léo Condé,3:0,3,0,Vitória
Campeonato Baiano,qua 31/01/24,Jequié,Vitória,?,Léo Condé,1:0,1,0,Jequié
Copa do Nordeste,dom 04/02/24,Altos,Vitória,4-2-3-1,Léo Condé,0:0,0,0,Empate
Campeonato Baiano,qua 07/02/24,Jacobina,Vitória,4-2-3-1,Léo Condé,0:0,0,0,Empate
Copa do Nordeste,sáb 10/02/24,Vitória,ABC,4-4-2 duplo 6,Léo Condé,3:1,3,1,Vitória
Copa do Nordeste,qua 14/02/24,Juazeirense,Vitória,4-4-2 duplo 6,Léo Condé,2:0,2,0,Juazeirense
Campeonato Baiano,dom 18/02/24,Vitória,Bahia,4-2-3-1,Léo Condé,3:2,3,2,Vitória
Copa do Nordeste,qua 21/02/24,Vitória,Náutico,4-2-3-1,Léo Condé,1:1,1,1,Empate
Campeonato Baiano,dom 25/02/24,Vitória,Atl. Alagoinhas,4-2-3-1,Léo Condé,3:0,3,0,Vitória
Campeonato Baiano,dom 03/03/24,Itabuna,Vitória,?,Léo Condé,0:2,0,2,Vitória
Copa do Nordeste,qua 06/03/24,Vitória,Itabaiana,4-2-3-1,Léo Condé,3:1,3,1,Vitória
Campeonato Baiano,dom 10/03/24,Barcelona-BA,Vitória,,Léo Condé,0:2,0,2,Vitória
Campeonato Baiano,dom 17/03/24,Vitória,Barcelona-BA,,Léo Condé,4:1,4,1,Vitória
Copa do Nordeste,qua 20/03/24,Bahia,Vitória,4-3-3 ofensivo,Léo Condé,2:1,2,1,Bahia
Copa do Nordeste,sáb 23/03/24,Fortaleza,Vitória,4-3-3 ofensivo,Léo Condé,0:1,0,1,Vitória
Copa do Nordeste,qua 27/03/24,Vitória,Treze,4-4-2 duplo 6,Léo Condé,3:0,3,0,Vitória
Campeonato Baiano,dom 31/03/24,Vitória,Bahia,4-2-3-1,Léo Condé,3:2,3,2,Vitória
Campeonato Baiano,dom 07/04/24,Bahia,Vitória,,Léo Condé,1:1,1,1,Empate
Campeonato Brasileiro Série A,dom 14/04/24,Vitória,Palmeiras,4-3-3 ofensivo,Léo Condé,0:1,0,1,Palmeiras
Campeonato Brasileiro Série A,dom 21/04/24,Vitória,Bahia,4-3-3 ofensivo,Léo Condé,2:2,2,2,Empate
Campeonato Brasileiro Série A,dom 28/04/24,Cruzeiro,Vitória,4-4-2,Léo Condé,3:1,3,1,Cruzeiro
Copa do Brasil,qui 02/05/24,Botafogo,Vitória,3-4-1-2,Léo Condé,1:0,1,0,Botafogo
Campeonato Brasileiro Série A,dom 05/05/24,Vitória,São Paulo,3-4-1-2,Léo Condé,1:3,1,3,São Paulo
Campeonato Brasileiro Série A,dom 12/05/24,Vasco da Gama,Vitória,3-4-1-2,Léo Condé,2:1,2,1,Vasco da Gama
Copa do Brasil,qua 22/05/24,Vitória,Botafogo,4-2-3-1,Thiago Carpini,1:2,1,2,Botafogo
Campeonato Brasileiro Série A,sáb 01/06/24,Vitória,Atlético-GO,4-4-2,Thiago Carpini,0:2,0,2,Atlético-GO
Campeonato Brasileiro Série A,qua 05/06/24,Cuiabá,Vitória,4-1-4-1,Thiago Carpini,0:0,0,0,Empate
Campeonato Brasileiro Série A,ter 11/06/24,Juventude,Vitória,4-1-4-1,Thiago Carpini,1:1,1,1,Empate
Campeonato Brasileiro Série A,dom 16/06/24,Vitória,Internacional,4-1-4-1,Thiago Carpini,2:1,2,1,Vitória
Campeonato Brasileiro Série A,qui 20/06/24,Vitória,Atlético-MG,4-1-4-1,Thiago Carpini,4:2,4,2,Vitória
Campeonato Brasileiro Série A,dom 23/06/24,Bragantino,Vitória,5-3-2,Thiago Carpini,2:1,2,1,Bragantino
Campeonato Brasileiro Série A,qui 27/06/24,Fluminense,Vitória,4-1-4-1,Thiago Carpini,0:1,0,1,Vitória
Campeonato Brasileiro Série A,dom 30/06/24,Vitória,Athletico-PR,4-1-4-1,Thiago Carpini,0:1,0,1,Athletico-PR
Campeonato Brasileiro Série A,qui 04/07/24,Corinthians,Vitória,4-1-4-1,Thiago Carpini,3:2,3,2,Corinthians
Campeonato Brasileiro Série A,dom 07/07/24,Vitória,Criciúma,4-1-4-1,Thiago Carpini,2:1,2,1,Vitória
Campeonato Brasileiro Série A,qui 11/07/24,Vitória,Botafogo,4-1-4-1,Thiago Carpini,0:1,0,1,Botafogo
Campeonato Brasileiro Série A,qua 17/07/24,Fortaleza,Vitória,4-1-4-1,Thiago Carpini,3:1,3,1,Fortaleza
Campeonato Brasileiro Série A,dom 21/07/24,Grêmio,Vitória,3-4-3 plano,Thiago Carpini,2:0,2,0,Grêmio
Campeonato Brasileiro Série A,qua 24/07/24,Vitória,Flamengo,4-1-4-1,Thiago Carpini,1:2,1,2,Flamengo
Campeonato Brasileiro Série A,sáb 27/07/24,Palmeiras,Vitória,4-1-4-1,Thiago Carpini,0:2,0,2,Vitória
Campeonato Brasileiro Série A,sáb 03/08/24,Vitória,Cuiabá,4-3-3 ofensivo,Estephano Neto,1:0,1,0,Vitória
Campeonato Brasileiro Série A,dom 11/08/24,Bahia,Vitória,4-3-3 ofensivo,Thiago Carpini,2:0,2,0,Bahia
Campeonato Brasileiro Série A,seg 19/08/24,Vitória,Cruzeiro,4-3-3 ofensivo,Thiago Carpini,2:2,2,2,Empate
Campeonato Brasileiro Série A,dom 25/08/24,São Paulo,Vitória,4-1-4-1,Thiago Carpini,2:1,2,1,São Paulo
Campeonato Brasileiro Série A,dom 01/09/24,Vitória,Vasco da Gama,4-3-3 ofensivo,Thiago Carpini,0:1,0,1,Vasco da Gama
Campeonato Brasileiro Série A,sáb 14/09/24,Atlético-GO,Vitória,4-2-3-1,Thiago Carpini,0:2,0,2,Vitória
Campeonato Brasileiro Série A,sáb 21/09/24,Vitória,Juventude,4-2-3-1,Thiago Carpini,1:0,1,0,Vitória
